t = 24, completed file 1
t = 25, completed file 1186
t = 26, completed file 1233
t = 27, completed file 1277
t = 28, completed file 121
t = 29, completed file 1385
t = 30, completed file 111
t = 31, completed file 1549
t = 32, completed file 1520
t = 33, completed file 372
t = 34, completed file 1704
t = 35, completed file 1792
t = 36, completed file 198
t = 37, completed file 1893
t = 38, completed file 420
t = 39, completed file 335
t = 40, completed file 276
t = 41, completed file 2156
t = 42, completed file 2144
t = 43, completed file 2252
t = 44, completed file 1212
t = 45, completed file 944
t = 46, completed file 2440
t = 47, completed file 2514
t = 48, completed file 2551
t = 49, completed file 2629
t = 50, completed file 2532
t = 51, completed file 684
t = 52, completed file 690
t = 53, completed file 1101
t = 55, completed file 2002
t = 56, completed file 3055
t = 57, completed file 3097
t = 58, completed file 3138
t = 59, completed file 3136
t = 60, completed file 2970
t = 62, completed file 3261
t = 63, completed file 3421
t = 64, completed file 3487
t = 66, completed file 3600
t = 68, completed file 3695
t = 70, completed file 3532
t = 71, completed file 3910
t = 72, completed file 3991
t = 73, completed file 3984
t = 74, completed file 4112
t = 75, completed file 4091
t = 77, completed file 4127
t = 78, completed file 4364
t = 79, completed file 4319
t = 81, completed file 3237
t = 83, completed file 4555
t = 85, completed file 4681
t = 86, completed file 4823
t = 87, completed file 4873
t = 89, completed file 1768
t = 90, completed file 5102
t = 91, completed file 5129
t = 92, completed file 4998
t = 94, completed file 5276
t = 96, completed file 5287
t = 98, completed file 5457
t = 99, completed file 5643
t = 100, completed file 5633
t = 102, completed file 5659
t = 103, completed file 5843
t = 105, completed file 5869
t = 107, completed file 5859
t = 109, completed file 6076
t = 111, completed file 5778
t = 112, completed file 6313
t = 114, completed file 6384
t = 116, completed file 6531
t = 118, completed file 6371
t = 120, completed file 5532
t = 121, completed file 6916
t = 123, completed file 6913
t = 124, completed file 7138
t = 125, completed file 7192
t = 126, completed file 7204
t = 127, completed file 7167
t = 129, completed file 7150
t = 131, completed file 7053
t = 133, completed file 7032
t = 135, completed file 5453
t = 137, completed file 429
t = 139, completed file 5227
t = 141, completed file 55
t = 143, completed file 714
t = 145, completed file 2671
t = 147, completed file 748
t = 149, completed file 761
t = 151, completed file 2688
t = 153, completed file 4993
t = 155, completed file 832
t = 157, completed file 4909
t = 159, completed file 995
t = 161, completed file 4839
t = 163, completed file 1260
t = 165, completed file 1779
t = 167, completed file 1657
t = 169, completed file 1581
t = 171, completed file 2840
t = 173, completed file 547
t = 175, completed file 1273
t = 177, completed file 2535
t = 179, completed file 2416
t = 181, completed file 2431
t = 183, completed file 4116
t = 185, completed file 4141
t = 187, completed file 262
t = 189, completed file 1982
t = 191, completed file 2550
t = 193, completed file 627
t = 195, completed file 2066
t = 197, completed file 2120
t = 199, completed file 520
t = 201, completed file 1067
t = 204, completed file 7336
t = 207, completed file 128
t = 210, completed file 7301
t = 213, completed file 483
t = 216, completed file 967
t = 219, completed file 457
t = 222, completed file 3864
t = 225, completed file 3768
t = 228, completed file 976
t = 231, completed file 7237
t = 234, completed file 4016
t = 237, completed file 6888
t = 240, completed file 4053
t = 243, completed file 3445
t = 246, completed file 3433
t = 249, completed file 1787
t = 252, completed file 1673
t = 255, completed file 419
t = 258, completed file 1726
t = 261, completed file 3239
t = 264, completed file 6402
t = 267, completed file 4131
t = 270, completed file 3554
t = 273, completed file 3286
t = 276, completed file 6012
t = 279, completed file 5976
t = 282, completed file 5797
t = 285, completed file 5780
t = 288, completed file 5715
t = 291, completed file 2848
t = 294, completed file 5601
t = 297, completed file 5538
t = 300, completed file 2722
t = 303, completed file 2625
t = 306, completed file 652
t = 309, completed file 2560
t = 312, completed file 5077
t = 315, completed file 2573
t = 318, completed file 1229
t = 321, completed file 2541
t = 324, completed file 4960
t = 327, completed file 631
t = 330, completed file 4885
t = 333, completed file 1166
t = 336, completed file 4747
t = 339, completed file 2326
t = 342, completed file 4615
t = 345, completed file 2291
t = 348, completed file 2307
t = 351, completed file 565
t = 354, completed file 2273
t = 357, completed file 4453
t = 360, completed file 2226
t = 363, completed file 1096
t = 366, completed file 4387
t = 369, completed file 4345
t = 372, completed file 85
t = 375, completed file 2106
t = 378, completed file 4168
t = 381, completed file 2081
t = 385, completed file 4045
t = 389, completed file 2033
t = 393, completed file 972
t = 397, completed file 3651
t = 401, completed file 7321
t = 405, completed file 450
t = 409, completed file 7001
t = 413, completed file 3516
t = 417, completed file 3511
t = 421, completed file 6945
t = 425, completed file 6855
t = 429, completed file 6667
t = 433, completed file 6568
t = 437, completed file 797
t = 441, completed file 6416
t = 445, completed file 3208
t = 449, completed file 3125
t = 453, completed file 6100
t = 457, completed file 3066
t = 461, completed file 6057
t = 465, completed file 6055
t = 469, completed file 3082
t = 473, completed file 2869
t = 477, completed file 2920
t = 481, completed file 2974
t = 485, completed file 1483
t = 489, completed file 708
t = 493, completed file 1414
t = 497, completed file 5576
t = 501, completed file 2788
t = 505, completed file 5552
t = 509, completed file 5507
t = 513, completed file 5485
t = 517, completed file 5451
t = 521, completed file 1301
t = 525, completed file 1327
t = 529, completed file 72
t = 533, completed file 2555
t = 537, completed file 4907
t = 541, completed file 2399
t = 545, completed file 2389
t = 549, completed file 4698
t = 553, completed file 2310
t = 557, completed file 4621
t = 561, completed file 1064
t = 565, completed file 4247
t = 569, completed file 2117
t = 573, completed file 4153
t = 578, completed file 4095
t = 583, completed file 4056
t = 588, completed file 999
t = 593, completed file 3977
t = 598, completed file 3873
t = 603, completed file 3693
t = 608, completed file 3649
t = 613, completed file 7245
t = 618, completed file 3613
t = 623, completed file 7059
t = 628, completed file 874
t = 633, completed file 6877
t = 638, completed file 1728
t = 643, completed file 6845
t = 648, completed file 1692
t = 653, completed file 6764
t = 658, completed file 3380
t = 663, completed file 3373
t = 668, completed file 6702
t = 673, completed file 6518
t = 678, completed file 6430
t = 683, completed file 3105
t = 688, completed file 41
t = 693, completed file 3035
t = 698, completed file 6132
t = 703, completed file 1515
t = 708, completed file 726
t = 713, completed file 5817
t = 718, completed file 1439
t = 723, completed file 5756
t = 728, completed file 5645
t = 733, completed file 5628
t = 738, completed file 5568
t = 743, completed file 2810
t = 748, completed file 5542
t = 753, completed file 5497
t = 758, completed file 1381
t = 763, completed file 1355
t = 768, completed file 2674
t = 773, completed file 663
t = 778, completed file 32
t = 783, completed file 293
t = 788, completed file 5038
t = 793, completed file 5028
t = 798, completed file 2503
t = 803, completed file 4919
t = 808, completed file 4888
t = 813, completed file 2410
t = 818, completed file 4716
t = 823, completed file 4557
t = 828, completed file 4533
t = 833, completed file 4471
t = 838, completed file 4454
t = 843, completed file 37
t = 848, completed file 4400
t = 853, completed file 4280
t = 858, completed file 525
t = 864, completed file 4133
t = 870, completed file 1977
t = 876, completed file 3915
t = 882, completed file 1910
t = 888, completed file 3808
t = 894, completed file 3742
t = 900, completed file 7334
t = 906, completed file 7248
t = 912, completed file 3568
