t = 16, completed file 1
t = 17, completed file 705
t = 18, completed file 771
t = 19, completed file 834
t = 20, completed file 888
t = 21, completed file 883
t = 22, completed file 786
t = 23, completed file 1062
t = 24, completed file 1084
t = 25, completed file 1198
t = 26, completed file 156
t = 27, completed file 686
t = 28, completed file 657
t = 29, completed file 538
t = 30, completed file 382
t = 31, completed file 204
t = 32, completed file 753
t = 33, completed file 744
t = 34, completed file 205
t = 36, completed file 926
t = 38, completed file 464
t = 40, completed file 237
t = 42, completed file 485
t = 44, completed file 243
t = 46, completed file 824
t = 48, completed file 403
t = 50, completed file 9
t = 52, completed file 747
t = 54, completed file 51
t = 56, completed file 361
t = 58, completed file 371
t = 60, completed file 638
t = 62, completed file 1046
t = 65, completed file 935
t = 68, completed file 457
t = 71, completed file 59
t = 74, completed file 870
t = 77, completed file 862
t = 80, completed file 830
t = 83, completed file 365
t = 86, completed file 1139
t = 89, completed file 69
t = 92, completed file 514
t = 95, completed file 257
t = 99, completed file 508
t = 103, completed file 213
t = 107, completed file 685
t = 111, completed file 21
t = 116, completed file 1002
t = 121, completed file 18
t = 126, completed file 358
t = 131, completed file 145
t = 136, completed file 269
t = 142, completed file 868
t = 148, completed file 433
t = 154, completed file 845
t = 160, completed file 418
t = 166, completed file 815
t = 172, completed file 757
t = 178, completed file 703
t = 184, completed file 173
t = 190, completed file 147
t = 196, completed file 1100
t = 202, completed file 260
t = 209, completed file 123
t = 216, completed file 471
t = 223, completed file 929
t = 230, completed file 453
t = 237, completed file 894
t = 244, completed file 861
t = 251, completed file 838
t = 258, completed file 340
t = 265, completed file 592
t = 272, completed file 1112
t = 279, completed file 540
t = 286, completed file 523
t = 293, completed file 1045
t = 301, completed file 491
t = 309, completed file 975
t = 317, completed file 950
t = 325, completed file 424
t = 333, completed file 369
t = 341, completed file 182
t = 349, completed file 330
t = 357, completed file 326
t = 366, completed file 961
t = 375, completed file 231
t = 384, completed file 235
t = 393, completed file 895
t = 402, completed file 432
t = 411, completed file 819
t = 420, completed file 790
t = 429, completed file 625
t = 438, completed file 320
t = 447, completed file 622
t = 456, completed file 153
t = 465, completed file 1177
t = 474, completed file 1066
t = 483, completed file 520
t = 493, completed file 1024
t = 503, completed file 994
t = 513, completed file 16
t = 523, completed file 637
t = 533, completed file 309
t = 543, completed file 1221
t = 553, completed file 1075
