t = 13, completed file 1
t = 14, completed file 234
t = 15, completed file 555
t = 16, completed file 640
t = 17, completed file 634
t = 18, completed file 190
t = 19, completed file 158
t = 20, completed file 846
t = 22, completed file 856
t = 24, completed file 990
t = 25, completed file 1111
t = 26, completed file 1239
t = 28, completed file 399
t = 30, completed file 1368
t = 31, completed file 1470
t = 33, completed file 1488
t = 34, completed file 1721
t = 35, completed file 1700
t = 36, completed file 1682
t = 38, completed file 1917
t = 39, completed file 2022
t = 40, completed file 2095
t = 42, completed file 1923
t = 43, completed file 2209
t = 45, completed file 1478
t = 46, completed file 2383
t = 48, completed file 2394
t = 50, completed file 847
t = 51, completed file 2662
t = 53, completed file 2364
t = 55, completed file 2265
t = 57, completed file 3046
t = 59, completed file 2999
t = 60, completed file 3294
t = 62, completed file 2966
t = 63, completed file 3433
t = 65, completed file 3462
t = 66, completed file 3634
t = 67, completed file 3706
t = 68, completed file 3764
t = 69, completed file 3842
t = 70, completed file 3874
t = 71, completed file 3860
t = 72, completed file 3792
t = 73, completed file 3758
t = 74, completed file 4126
t = 75, completed file 4199
t = 76, completed file 3607
t = 77, completed file 4270
t = 78, completed file 3687
t = 80, completed file 3810
t = 81, completed file 4530
t = 82, completed file 4588
t = 84, completed file 3410
t = 86, completed file 4758
t = 87, completed file 4923
t = 88, completed file 4917
t = 89, completed file 5003
t = 91, completed file 5101
t = 92, completed file 5215
t = 93, completed file 5273
t = 94, completed file 5322
t = 95, completed file 5266
t = 96, completed file 5445
t = 97, completed file 5463
t = 99, completed file 5576
t = 100, completed file 5620
t = 102, completed file 5701
t = 104, completed file 5535
t = 105, completed file 5934
t = 106, completed file 6036
t = 107, completed file 6087
t = 108, completed file 6153
t = 109, completed file 6235
t = 110, completed file 6265
t = 111, completed file 6186
t = 112, completed file 6414
t = 113, completed file 6446
t = 114, completed file 6522
t = 115, completed file 6438
t = 116, completed file 6185
t = 117, completed file 6712
t = 118, completed file 6687
t = 120, completed file 6822
t = 121, completed file 6881
t = 122, completed file 7001
t = 124, completed file 7016
t = 125, completed file 7133
t = 126, completed file 7242
t = 127, completed file 7283
t = 129, completed file 7332
t = 131, completed file 6788
t = 133, completed file 6689
t = 135, completed file 6664
t = 137, completed file 6606
t = 139, completed file 6500
t = 141, completed file 6395
t = 143, completed file 6357
t = 145, completed file 5177
t = 147, completed file 5007
t = 149, completed file 4900
t = 151, completed file 1110
t = 153, completed file 3408
t = 155, completed file 4620
t = 157, completed file 3747
t = 159, completed file 4519
t = 161, completed file 4493
t = 163, completed file 3777
t = 165, completed file 4274
t = 167, completed file 2258
t = 169, completed file 1467
t = 171, completed file 547
t = 173, completed file 270
t = 175, completed file 2180
t = 177, completed file 2015
t = 179, completed file 572
t = 181, completed file 1663
t = 183, completed file 647
t = 186, completed file 455
t = 189, completed file 3715
t = 192, completed file 1904
t = 195, completed file 1025
t = 198, completed file 925
t = 201, completed file 7213
t = 204, completed file 7099
t = 207, completed file 6786
t = 210, completed file 3336
t = 213, completed file 1617
t = 216, completed file 1977
t = 219, completed file 1687
t = 222, completed file 1030
t = 225, completed file 1598
t = 228, completed file 1591
t = 231, completed file 1798
t = 234, completed file 6379
t = 237, completed file 3796
t = 240, completed file 6296
t = 243, completed file 3832
t = 246, completed file 4041
t = 249, completed file 3576
t = 252, completed file 1979
t = 255, completed file 465
t = 258, completed file 6040
t = 261, completed file 6035
t = 264, completed file 5985
t = 267, completed file 5753
t = 270, completed file 5503
t = 273, completed file 5444
t = 276, completed file 5415
t = 279, completed file 2808
t = 282, completed file 2715
t = 285, completed file 1341
t = 288, completed file 1313
t = 291, completed file 2725
t = 294, completed file 2728
t = 297, completed file 2888
t = 300, completed file 104
t = 303, completed file 1361
t = 306, completed file 2896
t = 309, completed file 2749
t = 312, completed file 1405
t = 315, completed file 4899
t = 318, completed file 4831
t = 321, completed file 4751
t = 324, completed file 4724
t = 327, completed file 2527
t = 330, completed file 314
t = 333, completed file 586
t = 336, completed file 1217
t = 339, completed file 4659
t = 342, completed file 4477
t = 345, completed file 4376
t = 348, completed file 4247
t = 351, completed file 4153
t = 354, completed file 4145
t = 357, completed file 1087
t = 361, completed file 3981
t = 365, completed file 2053
t = 369, completed file 2057
t = 373, completed file 1982
t = 377, completed file 501
t = 381, completed file 1894
t = 385, completed file 226
t = 389, completed file 215
t = 393, completed file 7323
t = 397, completed file 3645
t = 401, completed file 7275
t = 405, completed file 3660
t = 409, completed file 464
t = 413, completed file 7181
t = 417, completed file 7119
t = 421, completed file 7053
t = 425, completed file 3522
t = 429, completed file 6935
t = 433, completed file 3383
t = 437, completed file 6765
t = 441, completed file 814
t = 445, completed file 3335
t = 449, completed file 1667
t = 453, completed file 6672
t = 457, completed file 3352
t = 461, completed file 6605
t = 465, completed file 405
t = 469, completed file 6494
t = 473, completed file 100
t = 477, completed file 6417
t = 481, completed file 6410
t = 485, completed file 6391
t = 489, completed file 1587
t = 493, completed file 43
t = 497, completed file 3128
t = 501, completed file 3147
t = 505, completed file 3161
t = 509, completed file 6131
t = 513, completed file 6108
t = 517, completed file 6003
t = 521, completed file 5931
t = 525, completed file 716
t = 529, completed file 3055
t = 533, completed file 1542
t = 537, completed file 763
t = 541, completed file 5600
t = 545, completed file 1406
t = 549, completed file 2764
t = 553, completed file 5520
t = 557, completed file 2779
t = 561, completed file 5366
t = 565, completed file 5345
t = 569, completed file 2682
t = 573, completed file 2608
t = 577, completed file 2491
t = 581, completed file 2563
t = 585, completed file 309
t = 589, completed file 1246
t = 593, completed file 4913
t = 597, completed file 4611
t = 601, completed file 4587
t = 605, completed file 4579
t = 609, completed file 4498
t = 613, completed file 4475
t = 617, completed file 153
t = 621, completed file 4341
t = 625, completed file 4237
t = 630, completed file 4118
t = 635, completed file 3831
t = 640, completed file 3805
t = 645, completed file 3779
t = 650, completed file 1890
t = 655, completed file 7256
t = 660, completed file 7172
t = 665, completed file 7153
t = 670, completed file 3595
t = 675, completed file 7121
t = 680, completed file 1766
t = 685, completed file 901
t = 690, completed file 6931
t = 695, completed file 3415
t = 700, completed file 3405
t = 705, completed file 3373
t = 710, completed file 6526
t = 715, completed file 1602
t = 720, completed file 6444
t = 725, completed file 3231
t = 730, completed file 6389
t = 735, completed file 6226
t = 740, completed file 6202
t = 745, completed file 3052
t = 750, completed file 3100
t = 755, completed file 1468
t = 760, completed file 5769
t = 765, completed file 2879
t = 770, completed file 2899
t = 775, completed file 5594
t = 780, completed file 5580
t = 785, completed file 5562
t = 790, completed file 2757
t = 795, completed file 5342
t = 800, completed file 335
t = 805, completed file 2625
t = 810, completed file 322
t = 815, completed file 2572
t = 820, completed file 5075
t = 825, completed file 2582
t = 830, completed file 4979
t = 835, completed file 1214
t = 840, completed file 4776
t = 845, completed file 4768
t = 850, completed file 4754
t = 855, completed file 4658
t = 860, completed file 1148
t = 865, completed file 1038
t = 870, completed file 532
t = 875, completed file 4306
t = 880, completed file 514
t = 885, completed file 536
t = 890, completed file 4162
t = 895, completed file 4147
t = 900, completed file 2081
t = 906, completed file 4119
t = 912, completed file 2052
t = 918, completed file 2019
t = 924, completed file 4010
t = 930, completed file 979
t = 936, completed file 3901
t = 942, completed file 1902
t = 948, completed file 3751
t = 954, completed file 458
t = 960, completed file 1819
t = 966, completed file 3605
t = 972, completed file 1759
t = 978, completed file 7049
t = 984, completed file 6998
t = 990, completed file 3484
t = 996, completed file 6847
t = 1002, completed file 3413
t = 1008, completed file 6741
t = 1014, completed file 864
t = 1020, completed file 6654
t = 1026, completed file 3316
t = 1032, completed file 3297
t = 1038, completed file 6593
t = 1044, completed file 818
t = 1050, completed file 6527
t = 1056, completed file 6473
t = 1062, completed file 3232
t = 1068, completed file 6403
t = 1074, completed file 781
t = 1080, completed file 6363
t = 1086, completed file 3156
t = 1092, completed file 6300
t = 1098, completed file 6261
t = 1104, completed file 756
t = 1110, completed file 5980
t = 1116, completed file 1479
t = 1122, completed file 175
t = 1128, completed file 5719
t = 1134, completed file 5665
t = 1140, completed file 2828
t = 1146, completed file 2787
t = 1152, completed file 5499
t = 1158, completed file 5487
t = 1164, completed file 701
t = 1170, completed file 669
t = 1176, completed file 2660
t = 1182, completed file 2623
t = 1188, completed file 1292
t = 1194, completed file 5151
t = 1200, completed file 5107
t = 1206, completed file 2536
t = 1212, completed file 1271
t = 1218, completed file 95
t = 1224, completed file 4931
t = 1230, completed file 4875
t = 1236, completed file 4872
t = 1242, completed file 1219
t = 1248, completed file 1194
t = 1254, completed file 4782
t = 1260, completed file 2354
t = 1266, completed file 4655
t = 1272, completed file 4649
t = 1278, completed file 4531
t = 1284, completed file 2288
t = 1290, completed file 4434
t = 1296, completed file 2190
t = 1302, completed file 2161
t = 1309, completed file 502
t = 1316, completed file 481
t = 1323, completed file 3851
t = 1330, completed file 965
t = 1337, completed file 7357
t = 1344, completed file 3666
t = 1351, completed file 7305
t = 1358, completed file 3625
t = 1365, completed file 1808
t = 1372, completed file 7115
t = 1379, completed file 3520
t = 1386, completed file 6942
t = 1393, completed file 6893
t = 1400, completed file 1699
t = 1407, completed file 3376
t = 1414, completed file 6718
t = 1421, completed file 3328
t = 1428, completed file 6542
t = 1435, completed file 6385
t = 1442, completed file 6354
t = 1449, completed file 6303
t = 1456, completed file 6283
t = 1463, completed file 6170
t = 1470, completed file 6107
t = 1477, completed file 1524
t = 1484, completed file 6061
t = 1491, completed file 5986
t = 1498, completed file 3002
t = 1505, completed file 5941
t = 1512, completed file 5930
t = 1519, completed file 5821
t = 1526, completed file 1451
t = 1533, completed file 5726
t = 1540, completed file 80
t = 1547, completed file 5527
t = 1554, completed file 2739
t = 1561, completed file 5397
t = 1568, completed file 5394
t = 1575, completed file 661
t = 1582, completed file 161
t = 1589, completed file 5165
t = 1596, completed file 151
t = 1603, completed file 2514
t = 1610, completed file 5013
t = 1617, completed file 157
t = 1624, completed file 4828
t = 1631, completed file 2423
t = 1638, completed file 4717
t = 1645, completed file 2347
t = 1652, completed file 2345
t = 1659, completed file 2151
t = 1666, completed file 2123
t = 1673, completed file 4154
t = 1680, completed file 1040
t = 1688, completed file 2050
t = 1696, completed file 976
t = 1704, completed file 960
t = 1712, completed file 922
t = 1720, completed file 7308
t = 1728, completed file 7248
t = 1736, completed file 1777
t = 1744, completed file 1771
t = 1752, completed file 6992
t = 1760, completed file 6945
t = 1768, completed file 3417
t = 1776, completed file 6658
t = 1784, completed file 6648
t = 1792, completed file 816
t = 1800, completed file 1613
t = 1808, completed file 1599
t = 1816, completed file 6250
t = 1824, completed file 6224
