t = 7, completed file 31
t = 8, completed file 126
t = 10, completed file 202
t = 12, completed file 118
t = 14, completed file 398
t = 15, completed file 535
t = 17, completed file 647
t = 19, completed file 166
t = 21, completed file 830
t = 23, completed file 791
t = 24, completed file 1137
t = 25, completed file 1182
t = 26, completed file 1102
t = 27, completed file 1044
t = 29, completed file 1231
t = 31, completed file 1068
t = 34, completed file 816
t = 37, completed file 809
t = 40, completed file 418
t = 43, completed file 150
t = 46, completed file 1237
t = 49, completed file 1099
t = 52, completed file 911
t = 55, completed file 161
t = 58, completed file 533
t = 61, completed file 365
t = 65, completed file 919
t = 69, completed file 471
t = 73, completed file 470
t = 77, completed file 894
t = 81, completed file 513
t = 85, completed file 115
t = 89, completed file 433
t = 93, completed file 10
t = 97, completed file 406
t = 101, completed file 1238
t = 105, completed file 1207
t = 109, completed file 1038
t = 114, completed file 233
t = 119, completed file 231
t = 124, completed file 904
t = 129, completed file 882
t = 134, completed file 865
t = 139, completed file 1172
t = 144, completed file 1167
t = 149, completed file 92
t = 154, completed file 1065
t = 159, completed file 139
t = 165, completed file 999
t = 171, completed file 512
t = 177, completed file 944
t = 183, completed file 874
t = 189, completed file 434
t = 195, completed file 412
t = 201, completed file 751
t = 207, completed file 352
t = 213, completed file 156
t = 219, completed file 1174
t = 225, completed file 1148
t = 231, completed file 274
t = 237, completed file 1037
t = 244, completed file 1020
t = 251, completed file 962
t = 258, completed file 926
t = 265, completed file 452
t = 272, completed file 439
t = 279, completed file 364
t = 286, completed file 33
t = 294, completed file 322
t = 302, completed file 1130
t = 310, completed file 570
t = 319, completed file 251
t = 328, completed file 236
t = 337, completed file 901
t = 346, completed file 833
t = 355, completed file 396
t = 364, completed file 401
t = 373, completed file 759
t = 382, completed file 380
t = 391, completed file 695
t = 400, completed file 643
t = 409, completed file 581
t = 418, completed file 1122
t = 427, completed file 1095
t = 437, completed file 947
t = 447, completed file 473
t = 457, completed file 453
t = 467, completed file 890
t = 477, completed file 224
t = 487, completed file 832
t = 497, completed file 645
t = 507, completed file 271
t = 517, completed file 67
t = 527, completed file 1056
t = 538, completed file 1002
t = 549, completed file 55
t = 560, completed file 876
t = 571, completed file 215
t = 582, completed file 758
t = 593, completed file 319
t = 604, completed file 312
t = 615, completed file 1208
t = 626, completed file 1200
t = 637, completed file 1115
t = 649, completed file 497
t = 661, completed file 967
t = 673, completed file 229
t = 685, completed file 205
t = 697, completed file 785
t = 709, completed file 383
t = 721, completed file 714
t = 733, completed file 634
t = 745, completed file 302
t = 757, completed file 277
t = 769, completed file 1081
t = 781, completed file 528
t = 794, completed file 64
t = 807, completed file 181
t = 820, completed file 690
t = 833, completed file 682
t = 846, completed file 316
t = 859, completed file 616
t = 872, completed file 296
t = 885, completed file 1039
t = 899, completed file 1033
t = 913, completed file 949
t = 927, completed file 939
t = 941, completed file 779
t = 955, completed file 178
t = 969, completed file 165
t = 983, completed file 157
t = 997, completed file 1210
t = 1011, completed file 1209
t = 1026, completed file 242
t = 1041, completed file 234
t = 1056, completed file 829
t = 1071, completed file 378
t = 1086, completed file 372
t = 1101, completed file 728
t = 1116, completed file 663
t = 1131, completed file 313
t = 1146, completed file 1194
t = 1161, completed file 1176
t = 1176, completed file 541
t = 1191, completed file 1069
t = 1206, completed file 1041
t = 1222, completed file 516
t = 1238, completed file 993
t = 1254, completed file 988
t = 1270, completed file 474
t = 1286, completed file 900
t = 1302, completed file 107
t = 1318, completed file 723
t = 1334, completed file 675
t = 1350, completed file 154
t = 1366, completed file 1179
t = 1382, completed file 73
t = 1398, completed file 1156
t = 1414, completed file 1151
t = 1430, completed file 1057
t = 1447, completed file 24
t = 1464, completed file 495
t = 1481, completed file 943
t = 1498, completed file 462
t = 1515, completed file 913
t = 1532, completed file 111
t = 1549, completed file 419
t = 1566, completed file 404
t = 1583, completed file 402
t = 1600, completed file 750
t = 1617, completed file 90
t = 1634, completed file 175
t = 1651, completed file 1116
t = 1668, completed file 11
t = 1685, completed file 548
t = 1703, completed file 504
t = 1721, completed file 207
t = 1739, completed file 96
t = 1757, completed file 354
t = 1775, completed file 79
t = 1793, completed file 1241
t = 1811, completed file 1227
t = 1829, completed file 284
t = 1847, completed file 1064
t = 1866, completed file 456
t = 1885, completed file 212
t = 1904, completed file 813
t = 1923, completed file 191
