t = 10, completed file 1
t = 11, completed file 299
t = 12, completed file 265
t = 13, completed file 221
t = 15, completed file 481
t = 16, completed file 658
t = 17, completed file 636
t = 18, completed file 735
t = 19, completed file 583
t = 21, completed file 387
t = 23, completed file 455
t = 24, completed file 1120
t = 25, completed file 1144
t = 26, completed file 1059
t = 27, completed file 1029
t = 29, completed file 1327
t = 31, completed file 1452
t = 33, completed file 1606
t = 35, completed file 1708
t = 36, completed file 1756
t = 37, completed file 1920
t = 38, completed file 1909
t = 40, completed file 2021
t = 41, completed file 2090
t = 43, completed file 2050
t = 45, completed file 1965
t = 46, completed file 2397
t = 48, completed file 1696
t = 49, completed file 2527
t = 51, completed file 2648
t = 52, completed file 2816
t = 53, completed file 2778
t = 54, completed file 2934
t = 56, completed file 2806
t = 58, completed file 3103
t = 60, completed file 3241
t = 61, completed file 3264
t = 63, completed file 326
t = 64, completed file 3532
t = 65, completed file 3572
t = 67, completed file 3484
t = 69, completed file 1667
t = 71, completed file 2586
t = 72, completed file 3918
t = 74, completed file 4021
t = 75, completed file 4187
t = 76, completed file 4219
t = 78, completed file 4297
t = 79, completed file 4379
t = 80, completed file 4502
t = 81, completed file 4532
t = 82, completed file 4477
t = 83, completed file 4665
t = 85, completed file 4553
t = 86, completed file 4853
t = 87, completed file 4823
t = 89, completed file 4518
t = 91, completed file 4411
t = 92, completed file 5177
t = 93, completed file 5226
t = 95, completed file 5326
t = 96, completed file 5450
t = 98, completed file 5437
t = 99, completed file 5574
t = 101, completed file 5654
t = 103, completed file 5735
t = 105, completed file 5386
t = 107, completed file 6040
t = 108, completed file 6086
t = 110, completed file 6025
t = 112, completed file 6272
t = 113, completed file 6481
t = 114, completed file 6512
t = 115, completed file 6488
t = 116, completed file 6463
t = 117, completed file 6440
t = 118, completed file 6739
t = 119, completed file 6826
t = 120, completed file 6860
t = 121, completed file 6824
t = 123, completed file 6993
t = 124, completed file 7117
t = 126, completed file 6970
t = 127, completed file 7247
t = 129, completed file 6923
t = 131, completed file 6664
t = 133, completed file 5253
t = 135, completed file 4348
t = 137, completed file 1245
t = 139, completed file 2545
t = 141, completed file 4233
t = 143, completed file 2066
t = 145, completed file 3973
t = 147, completed file 4099
t = 149, completed file 1686
t = 151, completed file 1698
t = 153, completed file 1232
t = 156, completed file 7314
t = 159, completed file 3643
t = 162, completed file 7308
t = 165, completed file 3651
t = 168, completed file 482
t = 171, completed file 7193
t = 174, completed file 7116
t = 177, completed file 7074
t = 180, completed file 7042
t = 183, completed file 6888
t = 186, completed file 3413
t = 189, completed file 493
t = 192, completed file 143
t = 195, completed file 1849
t = 198, completed file 3471
t = 201, completed file 6545
t = 204, completed file 3893
t = 207, completed file 901
t = 210, completed file 1604
t = 213, completed file 1034
t = 216, completed file 6258
t = 219, completed file 6239
t = 222, completed file 6237
t = 225, completed file 4133
t = 228, completed file 3472
