t = 7, completed file 17
t = 9, completed file 167
t = 11, completed file 239
t = 12, completed file 306
t = 13, completed file 477
t = 14, completed file 509
t = 16, completed file 586
t = 18, completed file 678
t = 19, completed file 826
t = 20, completed file 768
t = 22, completed file 835
t = 23, completed file 1015
t = 25, completed file 1008
t = 27, completed file 832
t = 29, completed file 1339
t = 30, completed file 1391
t = 31, completed file 1528
t = 33, completed file 1605
t = 35, completed file 1695
t = 36, completed file 1825
t = 37, completed file 1905
t = 38, completed file 1945
t = 40, completed file 1971
t = 41, completed file 2138
t = 42, completed file 2100
t = 44, completed file 2227
t = 45, completed file 2312
t = 47, completed file 1453
t = 48, completed file 2470
t = 50, completed file 2521
t = 51, completed file 2759
t = 52, completed file 2821
t = 53, completed file 2818
t = 55, completed file 2760
t = 57, completed file 3031
t = 59, completed file 3117
t = 60, completed file 3239
t = 61, completed file 3343
t = 62, completed file 3388
t = 63, completed file 3387
t = 64, completed file 3224
t = 65, completed file 3202
t = 67, completed file 3611
t = 69, completed file 3692
t = 70, completed file 3857
t = 71, completed file 3848
t = 72, completed file 3831
t = 73, completed file 3798
t = 75, completed file 3997
t = 76, completed file 4225
t = 77, completed file 4153
t = 79, completed file 3538
t = 80, completed file 4441
t = 82, completed file 4491
t = 83, completed file 4677
t = 84, completed file 4569
t = 86, completed file 4726
t = 88, completed file 4849
t = 89, completed file 4976
t = 91, completed file 4845
t = 93, completed file 5214
t = 94, completed file 5238
t = 95, completed file 5395
t = 96, completed file 5382
t = 98, completed file 4697
t = 99, completed file 5534
t = 101, completed file 5698
t = 102, completed file 5803
t = 104, completed file 5733
t = 106, completed file 6002
t = 107, completed file 6096
t = 108, completed file 6151
t = 109, completed file 6206
t = 110, completed file 6037
t = 112, completed file 6227
t = 113, completed file 6384
t = 115, completed file 6514
t = 116, completed file 6590
t = 117, completed file 6582
t = 119, completed file 6652
t = 120, completed file 6866
t = 121, completed file 6798
t = 122, completed file 6793
t = 124, completed file 6997
t = 125, completed file 7159
t = 126, completed file 7263
t = 127, completed file 7278
t = 129, completed file 7229
t = 131, completed file 7107
t = 133, completed file 6968
t = 135, completed file 6645
t = 137, completed file 6603
t = 139, completed file 6495
t = 141, completed file 5930
t = 143, completed file 5921
t = 145, completed file 5657
t = 147, completed file 5641
t = 149, completed file 5623
t = 151, completed file 4659
t = 153, completed file 4616
t = 155, completed file 4594
t = 157, completed file 2969
t = 159, completed file 428
t = 161, completed file 528
t = 163, completed file 206
t = 165, completed file 4241
t = 167, completed file 2160
t = 169, completed file 3827
t = 171, completed file 96
t = 173, completed file 119
t = 175, completed file 67
t = 177, completed file 1872
t = 179, completed file 1270
t = 181, completed file 583
t = 183, completed file 552
t = 185, completed file 2192
t = 187, completed file 2081
t = 189, completed file 325
t = 192, completed file 7353
t = 195, completed file 3757
t = 198, completed file 3706
t = 201, completed file 440
t = 204, completed file 1831
t = 207, completed file 1946
t = 210, completed file 7252
t = 213, completed file 7042
t = 216, completed file 6886
t = 219, completed file 1670
t = 222, completed file 6725
t = 225, completed file 1711
t = 228, completed file 6518
t = 231, completed file 1862
t = 234, completed file 6438
t = 237, completed file 3868
t = 240, completed file 3252
t = 243, completed file 1975
t = 246, completed file 1021
t = 249, completed file 6289
t = 252, completed file 4045
t = 255, completed file 989
t = 258, completed file 1566
