t = 111, completed file 1
t = 112, completed file 6277
t = 113, completed file 6448
t = 114, completed file 6267
t = 115, completed file 3308
t = 116, completed file 1465
t = 117, completed file 6675
t = 118, completed file 6764
t = 119, completed file 6803
t = 120, completed file 1693
t = 121, completed file 3552
t = 122, completed file 7004
t = 123, completed file 7087
t = 124, completed file 7111
t = 125, completed file 2937
t = 126, completed file 367
t = 226, completed file 907
t = 227, completed file 13224
t = 228, completed file 13063
t = 229, completed file 13427
t = 230, completed file 13389
t = 307, completed file 4092
t = 308, completed file 18044
t = 309, completed file 18190
t = 310, completed file 15671
t = 311, completed file 15437
t = 349, completed file 13442
t = 350, completed file 20521
t = 360, completed file 16395
t = 361, completed file 20857
t = 423, completed file 16388
t = 424, completed file 24893
t = 425, completed file 24885
t = 496, completed file 18303
t = 505, completed file 25022
t = 607, completed file 6211
t = 700, completed file 25020
t = 712, completed file 24955
t = 798, completed file 24962
t = 802, completed file 820
t = 915, completed file 12433
t = 990, completed file 25001
t = 997, completed file 24935
t = 1108, completed file 24942
t = 1212, completed file 24912
t = 1275, completed file 1525
t = 1306, completed file 24799
t = 1314, completed file 12367
t = 1392, completed file 24804
t = 1407, completed file 3489
t = 1448, completed file 24840
t = 1481, completed file 24635
t = 1494, completed file 12384
t = 1514, completed file 12679
t = 1524, completed file 6504
t = 1645, completed file 823
t = 1691, completed file 24773
t = 1701, completed file 24501
t = 1718, completed file 12188
t = 1818, completed file 24807
t = 1829, completed file 8083
t = 1872, completed file 16159
t = 1971, completed file 24733
t = 2024, completed file 755
t = 2045, completed file 413
t = 2066, completed file 12656
t = 2117, completed file 24854
t = 2162, completed file 8047
t = 2181, completed file 13029
t = 2269, completed file 3374
t = 2350, completed file 24743
t = 2431, completed file 15897
t = 2546, completed file 3446
t = 2594, completed file 14064
t = 2622, completed file 6293
t = 2632, completed file 12305
t = 2685, completed file 24679
t = 2698, completed file 24516
t = 2785, completed file 3053
t = 2856, completed file 794
t = 2973, completed file 6929
t = 3002, completed file 24917
t = 3062, completed file 16223
t = 3087, completed file 7872
t = 3143, completed file 3011
t = 3233, completed file 24595
t = 3269, completed file 13078
t = 3391, completed file 15745
t = 3415, completed file 12430
t = 3445, completed file 24337
t = 3449, completed file 1755
t = 3501, completed file 6688
t = 3503, completed file 24711
t = 3515, completed file 12306
t = 3622, completed file 11925
t = 3697, completed file 3159
t = 3755, completed file 16030
t = 3808, completed file 6505
t = 3825, completed file 12859
t = 3858, completed file 15645
t = 3863, completed file 12368
t = 3881, completed file 20708
t = 3989, completed file 16085
t = 4027, completed file 818
t = 4143, completed file 13280
t = 4146, completed file 1742
t = 4240, completed file 7515
t = 4342, completed file 14245
t = 4364, completed file 22030
t = 4481, completed file 15654
t = 4530, completed file 6191
t = 4630, completed file 6923
t = 4688, completed file 24579
t = 4739, completed file 2986
t = 4796, completed file 3088
t = 4847, completed file 12617
t = 4874, completed file 15764
t = 4973, completed file 24008
t = 5040, completed file 12912
t = 5166, completed file 7326
t = 5256, completed file 4003
t = 5264, completed file 3977
t = 5368, completed file 3885
t = 5445, completed file 212
t = 5540, completed file 6171
t = 5542, completed file 23892
t = 5567, completed file 11275
t = 5690, completed file 24624
t = 5724, completed file 12515
t = 5770, completed file 6490
t = 5832, completed file 13124
t = 5933, completed file 24390
t = 6001, completed file 12355
t = 6040, completed file 7940
t = 6157, completed file 6276
t = 6192, completed file 6273
t = 6206, completed file 3610
t = 6290, completed file 3658
t = 6378, completed file 12547
t = 6494, completed file 15952
t = 6567, completed file 946
t = 6640, completed file 5815
t = 6665, completed file 12623
t = 6741, completed file 5146
t = 6761, completed file 6034
t = 6855, completed file 13107
t = 6925, completed file 12988
t = 7007, completed file 3115
t = 7080, completed file 13210
t = 7138, completed file 13621
t = 7222, completed file 7608
t = 7261, completed file 110
t = 7320, completed file 12938
t = 7381, completed file 24617
t = 7397, completed file 1777
t = 7419, completed file 6393
t = 7511, completed file 6309
t = 7554, completed file 5880
t = 7561, completed file 11327
t = 7623, completed file 22733
t = 7696, completed file 13270
t = 7818, completed file 14118
t = 7912, completed file 12423
t = 7940, completed file 24552
t = 8011, completed file 16187
t = 8072, completed file 2786
t = 8160, completed file 24698
t = 8230, completed file 6860
t = 8304, completed file 13882
t = 8333, completed file 12144
t = 8453, completed file 13319
t = 8530, completed file 22781
t = 8608, completed file 1516
t = 8627, completed file 12115
t = 8705, completed file 20381
t = 8730, completed file 14331
t = 8810, completed file 4006
t = 8924, completed file 15761
t = 9024, completed file 24130
t = 9125, completed file 22136
t = 9152, completed file 24651
t = 9221, completed file 6899
t = 9223, completed file 3727
t = 9337, completed file 15844
t = 9452, completed file 1595
t = 9474, completed file 6179
t = 9481, completed file 11835
t = 9483, completed file 23755
t = 9506, completed file 22292
t = 9509, completed file 13582
t = 9528, completed file 7998
t = 9557, completed file 12366
t = 9611, completed file 1892
t = 9738, completed file 851
t = 9813, completed file 2904
t = 9871, completed file 4613
t = 9898, completed file 22549
t = 9976, completed file 6259
t = 10063, completed file 13783
t = 10132, completed file 12824
t = 10189, completed file 1651
t = 10204, completed file 512
t = 10240, completed file 24717
t = 10363, completed file 7972
t = 10470, completed file 24096
t = 10471, completed file 14160
t = 10482, completed file 14355
t = 10593, completed file 14184
t = 10713, completed file 10815
t = 10773, completed file 8198
t = 10822, completed file 10460
t = 10876, completed file 3749
t = 10901, completed file 22441
t = 11023, completed file 13781
t = 11131, completed file 7659
t = 11178, completed file 15200
t = 11276, completed file 13084
t = 11403, completed file 20652
t = 11416, completed file 13358
t = 11509, completed file 13364
t = 11571, completed file 8327
t = 11679, completed file 22140
t = 11687, completed file 22536
t = 11747, completed file 691
t = 11823, completed file 20193
t = 11857, completed file 6531
t = 11958, completed file 13793
t = 12014, completed file 6857
t = 12023, completed file 14756
t = 12033, completed file 3594
t = 12083, completed file 15688
t = 12174, completed file 13609
t = 12190, completed file 13721
t = 12252, completed file 15939
t = 12330, completed file 1612
t = 12359, completed file 7240
t = 12423, completed file 11874
t = 12499, completed file 678
t = 12572, completed file 461
t = 12698, completed file 21834
t = 12807, completed file 13514
t = 12912, completed file 13906
t = 12913, completed file 21474
t = 12942, completed file 23094
t = 13028, completed file 13006
t = 13057, completed file 12717
t = 13077, completed file 5677
t = 13099, completed file 23192
t = 13215, completed file 12752
t = 13235, completed file 15165
t = 13242, completed file 12886
t = 13305, completed file 200
t = 13423, completed file 13883
t = 13464, completed file 12698
t = 13472, completed file 24681
t = 13577, completed file 24688
t = 13586, completed file 5650
t = 13625, completed file 22908
t = 13682, completed file 10509
t = 13809, completed file 7236
t = 13819, completed file 22884
t = 13832, completed file 5664
t = 13876, completed file 13313
t = 13899, completed file 6801
t = 13957, completed file 6565
t = 14052, completed file 21734
t = 14147, completed file 13576
t = 14223, completed file 13772
t = 14294, completed file 13163
t = 14416, completed file 12347
t = 14530, completed file 9336
t = 14583, completed file 15402
t = 14686, completed file 20912
t = 14780, completed file 14566
t = 14890, completed file 6289
t = 14905, completed file 16245
t = 14930, completed file 7042
t = 15032, completed file 22890
t = 15047, completed file 13026
t = 15115, completed file 3090
t = 15182, completed file 13948
