t = 34, completed file 1
t = 35, completed file 1763
t = 36, completed file 1843
t = 37, completed file 1918
t = 38, completed file 1693
t = 39, completed file 2005
t = 40, completed file 1618
t = 41, completed file 2111
t = 42, completed file 1549
t = 43, completed file 358
t = 44, completed file 1441
t = 45, completed file 2370
t = 46, completed file 2423
t = 47, completed file 427
t = 48, completed file 1339
t = 49, completed file 1271
t = 50, completed file 2672
t = 51, completed file 2727
t = 52, completed file 2812
t = 53, completed file 2839
t = 93, completed file 218
t = 94, completed file 5297
t = 95, completed file 3758
t = 96, completed file 5460
t = 159, completed file 510
t = 160, completed file 7140
t = 161, completed file 7036
t = 277, completed file 2942
t = 381, completed file 7354
t = 490, completed file 1772
t = 502, completed file 900
t = 564, completed file 7325
t = 609, completed file 3601
t = 688, completed file 7273
t = 813, completed file 1803
t = 925, completed file 3645
t = 981, completed file 3652
t = 1080, completed file 885
t = 1096, completed file 7218
t = 1099, completed file 230
t = 1125, completed file 1922
t = 1248, completed file 3699
t = 1308, completed file 999
t = 1431, completed file 3717
t = 1449, completed file 7310
t = 1477, completed file 3582
t = 1578, completed file 3593
t = 1602, completed file 255
t = 1636, completed file 6975
t = 1737, completed file 7217
t = 1809, completed file 1802
t = 1851, completed file 1961
t = 1909, completed file 1731
t = 1993, completed file 3448
t = 2109, completed file 1838
t = 2198, completed file 3597
t = 2201, completed file 7119
t = 2321, completed file 213
t = 2425, completed file 1756
t = 2426, completed file 6723
t = 2545, completed file 3538
t = 2579, completed file 6389
t = 2691, completed file 876
t = 2765, completed file 3555
t = 2879, completed file 6626
t = 2978, completed file 1819
t = 2996, completed file 7156
t = 3063, completed file 7002
t = 3139, completed file 6760
t = 3228, completed file 4088
t = 3260, completed file 6789
t = 3268, completed file 5739
t = 3325, completed file 1433
t = 3400, completed file 7024
t = 3411, completed file 1640
t = 3467, completed file 842
t = 3474, completed file 1620
t = 3592, completed file 6786
t = 3609, completed file 1662
t = 3641, completed file 6565
t = 3740, completed file 3762
t = 3801, completed file 212
t = 3814, completed file 6734
t = 3926, completed file 3366
t = 3958, completed file 6856
t = 3962, completed file 1616
t = 4000, completed file 1671
t = 4057, completed file 3745
t = 4128, completed file 5621
t = 4191, completed file 854
t = 4196, completed file 811
t = 4300, completed file 857
t = 4425, completed file 6553
t = 4469, completed file 6203
t = 4576, completed file 3325
t = 4634, completed file 417
t = 4644, completed file 2797
t = 4754, completed file 5663
t = 4834, completed file 4076
t = 4878, completed file 3414
t = 4987, completed file 3353
t = 5106, completed file 1592
t = 5149, completed file 1658
t = 5239, completed file 1986
t = 5279, completed file 3181
t = 5363, completed file 3979
t = 5425, completed file 6474
t = 5474, completed file 6472
t = 5591, completed file 1647
t = 5614, completed file 7326
t = 5679, completed file 3820
t = 5780, completed file 769
t = 5795, completed file 2997
t = 5834, completed file 3224
t = 5862, completed file 6429
t = 5910, completed file 712
t = 5930, completed file 437
t = 6019, completed file 318
t = 6040, completed file 6141
t = 6093, completed file 6363
t = 6121, completed file 439
t = 6226, completed file 6311
t = 6317, completed file 3607
t = 6344, completed file 6109
t = 6403, completed file 3005
t = 6493, completed file 1945
t = 6583, completed file 6007
t = 6676, completed file 3906
t = 6777, completed file 1676
t = 6802, completed file 1695
t = 6825, completed file 1966
t = 6933, completed file 3912
t = 6935, completed file 6627
t = 6960, completed file 3293
t = 6985, completed file 7298
t = 6997, completed file 6187
t = 7026, completed file 3328
t = 7153, completed file 6937
t = 7228, completed file 6016
t = 7288, completed file 7076
t = 7374, completed file 6943
t = 7459, completed file 5710
t = 7462, completed file 3702
t = 7465, completed file 951
t = 7573, completed file 473
t = 7678, completed file 6955
t = 7758, completed file 4070
t = 7810, completed file 461
t = 7922, completed file 5992
t = 8049, completed file 6650
t = 8157, completed file 5507
t = 8283, completed file 6414
t = 8395, completed file 5846
t = 8491, completed file 2909
t = 8525, completed file 6989
t = 8587, completed file 3291
t = 8703, completed file 2736
t = 8817, completed file 2640
t = 8928, completed file 918
t = 8983, completed file 5476
t = 9075, completed file 320
t = 9101, completed file 1327
t = 9121, completed file 1235
t = 9228, completed file 1760
t = 9236, completed file 6362
t = 9316, completed file 3168
t = 9395, completed file 6877
t = 9501, completed file 3539
t = 9543, completed file 106
t = 9547, completed file 6724
t = 9664, completed file 6712
t = 9774, completed file 3880
t = 9864, completed file 3630
t = 9980, completed file 3405
t = 10037, completed file 5177
t = 10077, completed file 732
t = 10185, completed file 5744
t = 10295, completed file 974
t = 10332, completed file 424
t = 10372, completed file 6711
t = 10493, completed file 7023
t = 10508, completed file 2475
t = 10525, completed file 6999
t = 10571, completed file 906
t = 10641, completed file 6792
t = 10724, completed file 6550
t = 10740, completed file 5461
t = 10785, completed file 5905
t = 10862, completed file 5720
t = 10925, completed file 1375
t = 10951, completed file 3516
t = 11037, completed file 5995
t = 11073, completed file 6325
t = 11136, completed file 353
t = 11210, completed file 637
t = 11271, completed file 369
t = 11293, completed file 6618
t = 11311, completed file 7052
t = 11375, completed file 5457
t = 11378, completed file 7198
t = 11454, completed file 3612
t = 11562, completed file 5472
t = 11652, completed file 7097
t = 11692, completed file 4762
t = 11693, completed file 7012
t = 11733, completed file 7190
t = 11815, completed file 4224
t = 11909, completed file 7123
t = 11967, completed file 780
t = 12005, completed file 4421
t = 12016, completed file 6130
t = 12031, completed file 1453
t = 12119, completed file 6866
t = 12153, completed file 2796
t = 12200, completed file 5248
t = 12255, completed file 7208
t = 12264, completed file 1701
t = 12307, completed file 3440
t = 12334, completed file 2028
t = 12381, completed file 5012
t = 12405, completed file 6274
t = 12423, completed file 6555
t = 12472, completed file 5868
t = 12568, completed file 1710
t = 12679, completed file 3942
t = 12801, completed file 6176
t = 12817, completed file 5157
t = 12878, completed file 2699
t = 12989, completed file 6590
t = 13115, completed file 4520
t = 13175, completed file 187
t = 13182, completed file 5496
t = 13192, completed file 771
t = 13213, completed file 135
t = 13240, completed file 1429
t = 13250, completed file 5508
t = 13316, completed file 5518
t = 13377, completed file 1969
t = 13464, completed file 2508
t = 13501, completed file 7246
t = 13598, completed file 1462
t = 13723, completed file 705
t = 13793, completed file 7177
t = 13817, completed file 60
t = 13930, completed file 2183
t = 14031, completed file 2900
t = 14111, completed file 6746
t = 14222, completed file 3086
t = 14327, completed file 5428
t = 14414, completed file 5983
t = 14447, completed file 5022
t = 14453, completed file 1887
t = 14490, completed file 3084
t = 14617, completed file 913
t = 14716, completed file 3986
t = 14792, completed file 6504
t = 14886, completed file 5993
t = 14959, completed file 6230
t = 15034, completed file 6523
t = 15113, completed file 3371
t = 15240, completed file 2728
t = 15262, completed file 2194
t = 15317, completed file 4488
t = 15407, completed file 758
t = 15431, completed file 6863
t = 15508, completed file 4817
t = 15631, completed file 242
t = 15718, completed file 2547
t = 15822, completed file 5639
t = 15905, completed file 1340
t = 15965, completed file 89
t = 16090, completed file 1768
t = 16101, completed file 3308
t = 16221, completed file 1273
t = 16284, completed file 4335
t = 16380, completed file 6111
t = 16505, completed file 7178
t = 16514, completed file 5943
t = 16619, completed file 2363
t = 16737, completed file 7098
t = 16746, completed file 3535
t = 16781, completed file 7078
t = 16834, completed file 1650
t = 16932, completed file 6443
t = 16938, completed file 5244
t = 16961, completed file 1581
t = 17072, completed file 2075
t = 17097, completed file 5333
t = 17208, completed file 5152
t = 17299, completed file 1398
t = 17333, completed file 7344
t = 17415, completed file 3317
t = 17430, completed file 386
t = 17433, completed file 5320
t = 17535, completed file 724
t = 17571, completed file 3034
t = 17630, completed file 311
t = 17700, completed file 7241
t = 17752, completed file 4529
t = 17764, completed file 3875
t = 17778, completed file 423
t = 17833, completed file 6296
t = 17957, completed file 3294
t = 18078, completed file 248
t = 18103, completed file 223
t = 18161, completed file 4514
t = 18197, completed file 5072
t = 18203, completed file 4437
t = 18292, completed file 1853
t = 18338, completed file 392
t = 18407, completed file 4897
t = 18511, completed file 3547
t = 18531, completed file 3392
t = 18532, completed file 4283
t = 18611, completed file 6976
t = 18657, completed file 3428
t = 18732, completed file 2582
t = 18816, completed file 2293
t = 18881, completed file 2569
t = 18951, completed file 1050
t = 19069, completed file 5111
t = 19092, completed file 3030
t = 19136, completed file 2417
t = 19195, completed file 4015
t = 19298, completed file 7020
t = 19370, completed file 2880
t = 19386, completed file 2662
t = 19400, completed file 4935
t = 19487, completed file 4942
t = 19567, completed file 3223
t = 19605, completed file 2259
t = 19625, completed file 5594
t = 19747, completed file 1830
t = 19874, completed file 7038
t = 19998, completed file 4717
t = 20036, completed file 3278
t = 20112, completed file 2207
t = 20157, completed file 6781
t = 20196, completed file 1332
t = 20208, completed file 5674
t = 20210, completed file 2448
t = 20242, completed file 5513
t = 20265, completed file 3432
t = 20295, completed file 3140
t = 20339, completed file 1627
t = 20466, completed file 4455
t = 20540, completed file 5117
t = 20659, completed file 1646
t = 20756, completed file 140
t = 20843, completed file 4738
t = 20870, completed file 2878
t = 20875, completed file 7065
t = 20924, completed file 1751
t = 20927, completed file 2581
t = 20951, completed file 6761
t = 20963, completed file 1024
t = 20982, completed file 6892
t = 21077, completed file 4086
t = 21148, completed file 5004
t = 21198, completed file 4902
t = 21289, completed file 950
t = 21324, completed file 5279
t = 21403, completed file 1484
t = 21480, completed file 5010
t = 21560, completed file 6569
t = 21581, completed file 1903
t = 21594, completed file 3416
t = 21611, completed file 2323
t = 21650, completed file 3192
t = 21719, completed file 2695
t = 21824, completed file 2460
t = 21840, completed file 3950
t = 21876, completed file 2487
t = 21994, completed file 4785
t = 22005, completed file 1294
t = 22109, completed file 6561
t = 22133, completed file 7013
t = 22238, completed file 3497
t = 22332, completed file 3674
t = 22354, completed file 744
t = 22393, completed file 6006
t = 22414, completed file 4328
t = 22474, completed file 4663
t = 22498, completed file 1735
t = 22539, completed file 1621
t = 22643, completed file 5865
t = 22760, completed file 5089
t = 22805, completed file 2201
t = 22824, completed file 2047
t = 22921, completed file 4336
t = 23028, completed file 7150
t = 23116, completed file 202
t = 23237, completed file 3077
t = 23264, completed file 3483
t = 23298, completed file 4707
t = 23346, completed file 6728
t = 23362, completed file 3765
t = 23469, completed file 6365
t = 23526, completed file 3646
t = 23619, completed file 1660
t = 23724, completed file 793
t = 23850, completed file 1055
t = 23906, completed file 7043
t = 23939, completed file 4243
t = 23993, completed file 4959
t = 24027, completed file 5581
t = 24082, completed file 6297
t = 24102, completed file 5768
t = 24217, completed file 6161
t = 24331, completed file 268
t = 24375, completed file 4870
t = 24422, completed file 6843
t = 24528, completed file 115
t = 24590, completed file 7100
t = 24672, completed file 4113
t = 24762, completed file 6687
t = 24837, completed file 3668
t = 24865, completed file 6780
t = 24868, completed file 5550
t = 24973, completed file 7196
t = 24980, completed file 5721
t = 25039, completed file 5378
t = 25093, completed file 3911
t = 25165, completed file 542
t = 25172, completed file 1502
t = 25220, completed file 6155
t = 25296, completed file 2835
t = 25315, completed file 6184
t = 25389, completed file 3465
t = 25448, completed file 4618
t = 25495, completed file 72
t = 25535, completed file 6323
t = 25541, completed file 3145
t = 25602, completed file 6286
t = 25704, completed file 5642
t = 25817, completed file 1925
t = 25826, completed file 1267
t = 25851, completed file 5236
t = 25909, completed file 3602
t = 25967, completed file 6811
t = 25991, completed file 3059
t = 26009, completed file 1290
t = 26060, completed file 385
t = 26162, completed file 3284
t = 26166, completed file 3338
t = 26266, completed file 6672
t = 26359, completed file 6468
t = 26363, completed file 6359
t = 26365, completed file 7317
t = 26437, completed file 5691
t = 26467, completed file 7257
t = 26500, completed file 4528
t = 26625, completed file 1930
t = 26734, completed file 399
t = 26749, completed file 1851
t = 26820, completed file 6201
t = 26865, completed file 6635
t = 26924, completed file 2875
t = 26963, completed file 404
t = 27039, completed file 6910
t = 27061, completed file 4829
t = 27160, completed file 5700
t = 27219, completed file 858
t = 27281, completed file 5818
t = 27351, completed file 4504
t = 27406, completed file 4231
t = 27422, completed file 210
t = 27509, completed file 3698
t = 27512, completed file 6822
t = 27591, completed file 1423
t = 27681, completed file 1263
t = 27700, completed file 3793
t = 27809, completed file 6285
t = 27890, completed file 4510
t = 27891, completed file 6576
t = 27901, completed file 1318
t = 27925, completed file 3341
t = 27964, completed file 5548
t = 28043, completed file 993
t = 28045, completed file 7258
t = 28048, completed file 792
t = 28175, completed file 3439
t = 28266, completed file 2430
t = 28336, completed file 956
t = 28417, completed file 2864
t = 28456, completed file 1259
t = 28479, completed file 1642
t = 28516, completed file 2773
t = 28564, completed file 1460
t = 28594, completed file 2742
t = 28700, completed file 1890
t = 28751, completed file 1540
t = 28844, completed file 3073
t = 28920, completed file 7148
t = 28935, completed file 436
t = 29055, completed file 87
t = 29146, completed file 4818
t = 29164, completed file 6064
t = 29280, completed file 1674
t = 29322, completed file 6324
t = 29327, completed file 4581
t = 29362, completed file 6160
t = 29488, completed file 4203
t = 29556, completed file 3019
t = 29599, completed file 991
t = 29631, completed file 4079
t = 29742, completed file 1901
t = 29831, completed file 6055
t = 29928, completed file 7168
t = 29929, completed file 5873
t = 29932, completed file 6165
t = 29952, completed file 3142
t = 29980, completed file 1193
t = 30014, completed file 669
t = 30127, completed file 4789
t = 30154, completed file 4703
t = 30201, completed file 3888
t = 30267, completed file 4043
t = 30290, completed file 562
t = 30354, completed file 1931
