t = 7, completed file 17
t = 9, completed file 167
t = 11, completed file 239
t = 12, completed file 306
t = 13, completed file 477
t = 14, completed file 509
t = 16, completed file 586
t = 18, completed file 678
t = 19, completed file 826
t = 20, completed file 768
t = 30, completed file 408
t = 31, completed file 1528
t = 41, completed file 386
t = 42, completed file 2138
t = 43, completed file 1905
t = 44, completed file 2312
t = 85, completed file 190
t = 86, completed file 4677
t = 87, completed file 3848
t = 88, completed file 4976
t = 89, completed file 3798
t = 135, completed file 2034
t = 136, completed file 7278
t = 137, completed file 7263
t = 138, completed file 7159
t = 247, completed file 2057
t = 250, completed file 7353
t = 293, completed file 3662
t = 306, completed file 1839
t = 399, completed file 7323
t = 431, completed file 1838
t = 436, completed file 959
t = 496, completed file 1817
t = 531, completed file 7269
t = 615, completed file 1812
t = 630, completed file 7270
t = 692, completed file 3649
t = 712, completed file 7244
t = 753, completed file 7215
t = 782, completed file 3927
t = 814, completed file 3745
t = 873, completed file 3658
t = 1000, completed file 2015
t = 1049, completed file 3603
t = 1144, completed file 7295
t = 1159, completed file 7161
t = 1226, completed file 15
t = 1326, completed file 3739
t = 1387, completed file 837
t = 1412, completed file 3608
t = 1452, completed file 3594
t = 1478, completed file 228
t = 1496, completed file 24
t = 1522, completed file 6891
t = 1526, completed file 3680
t = 1557, completed file 227
t = 1616, completed file 7116
t = 1659, completed file 3887
t = 1776, completed file 7005
t = 1797, completed file 7056
t = 1852, completed file 6122
t = 1977, completed file 6339
t = 2065, completed file 1754
t = 2075, completed file 786
t = 2106, completed file 7087
t = 2223, completed file 3647
t = 2269, completed file 7141
t = 2343, completed file 3477
t = 2465, completed file 3378
t = 2506, completed file 508
t = 2559, completed file 425
t = 2634, completed file 1423
t = 2675, completed file 3401
t = 2677, completed file 6997
t = 2711, completed file 6985
t = 2798, completed file 4080
t = 2873, completed file 1692
t = 2953, completed file 1611
t = 3055, completed file 6939
t = 3100, completed file 3272
t = 3142, completed file 1900
t = 3215, completed file 918
t = 3319, completed file 836
t = 3394, completed file 6347
t = 3495, completed file 4016
t = 3585, completed file 6892
t = 3595, completed file 3113
t = 3700, completed file 6231
t = 3768, completed file 5542
t = 3879, completed file 855
t = 3993, completed file 1748
t = 4023, completed file 3659
t = 4085, completed file 3095
t = 4089, completed file 2016
t = 4209, completed file 4059
t = 4256, completed file 879
t = 4360, completed file 5694
t = 4450, completed file 3777
t = 4514, completed file 2007
t = 4621, completed file 6669
t = 4705, completed file 1788
t = 4819, completed file 3188
t = 4913, completed file 3310
t = 5028, completed file 3107
t = 5109, completed file 3127
t = 5150, completed file 3853
t = 5195, completed file 1586
t = 5261, completed file 6605
t = 5375, completed file 6404
t = 5395, completed file 3727
t = 5465, completed file 7333
t = 5489, completed file 6185
t = 5573, completed file 6030
t = 5615, completed file 6580
t = 5671, completed file 3076
t = 5690, completed file 5712
t = 5702, completed file 7219
t = 5817, completed file 3606
t = 5915, completed file 6371
t = 5929, completed file 3132
t = 6016, completed file 6280
t = 6130, completed file 6264
t = 6204, completed file 3799
t = 6330, completed file 3030
t = 6399, completed file 5924
t = 6435, completed file 3862
t = 6506, completed file 5960
t = 6527, completed file 3863
t = 6533, completed file 1772
t = 6572, completed file 4046
t = 6619, completed file 7241
t = 6697, completed file 1943
t = 6748, completed file 6583
