t = 28, completed file 2
t = 29, completed file 1437
t = 30, completed file 979
t = 31, completed file 954
t = 32, completed file 1614
t = 33, completed file 1641
t = 34, completed file 881
t = 35, completed file 823
t = 36, completed file 357
t = 37, completed file 1894
t = 38, completed file 1981
t = 39, completed file 736
t = 40, completed file 2099
t = 41, completed file 2067
t = 42, completed file 2190
t = 43, completed file 2243
t = 44, completed file 2341
t = 45, completed file 2375
t = 46, completed file 2447
t = 73, completed file 705
t = 74, completed file 3822
t = 75, completed file 3720
t = 76, completed file 4231
t = 77, completed file 4287
t = 78, completed file 4371
t = 79, completed file 4384
t = 139, completed file 32
t = 140, completed file 7878
t = 141, completed file 8105
t = 142, completed file 7728
t = 143, completed file 8264
t = 144, completed file 7598
t = 145, completed file 8345
t = 146, completed file 8431
t = 147, completed file 8499
t = 214, completed file 4099
t = 215, completed file 12596
t = 216, completed file 12399
t = 281, completed file 8217
t = 282, completed file 16455
t = 283, completed file 16376
t = 284, completed file 16716
t = 285, completed file 16115
t = 286, completed file 16849
t = 287, completed file 15947
t = 288, completed file 15923
t = 289, completed file 15708
t = 375, completed file 4100
t = 376, completed file 22252
t = 377, completed file 22280
t = 457, completed file 16420
t = 458, completed file 25001
t = 459, completed file 24924
t = 585, completed file 16419
t = 627, completed file 25022
t = 665, completed file 12450
t = 746, completed file 24985
t = 822, completed file 12415
t = 854, completed file 24979
t = 961, completed file 24942
t = 1026, completed file 24940
t = 1149, completed file 24836
t = 1255, completed file 24838
t = 1340, completed file 3327
t = 1355, completed file 24863
t = 1371, completed file 3208
t = 1452, completed file 24819
t = 1547, completed file 2032
t = 1631, completed file 13250
t = 1756, completed file 1766
t = 1880, completed file 25009
t = 1992, completed file 16183
t = 2107, completed file 3519
t = 2139, completed file 6203
t = 2220, completed file 3079
t = 2274, completed file 24916
t = 2303, completed file 12333
t = 2391, completed file 24480
t = 2488, completed file 16130
t = 2580, completed file 13333
t = 2620, completed file 3133
t = 2666, completed file 6345
t = 2752, completed file 25024
t = 2858, completed file 8222
t = 2967, completed file 24666
t = 3015, completed file 24859
t = 3019, completed file 6612
t = 3108, completed file 13270
t = 3210, completed file 12624
t = 3294, completed file 12442
t = 3369, completed file 13689
t = 3430, completed file 13046
t = 3547, completed file 12414
t = 3616, completed file 24265
t = 3643, completed file 13388
t = 3688, completed file 13016
t = 3793, completed file 4033
t = 3878, completed file 6560
t = 3896, completed file 12349
t = 3954, completed file 1959
t = 4045, completed file 24935
t = 4145, completed file 1493
t = 4159, completed file 16218
t = 4254, completed file 1000
t = 4303, completed file 13409
t = 4319, completed file 3792
t = 4364, completed file 24144
t = 4377, completed file 7134
t = 4485, completed file 7158
t = 4503, completed file 7833
t = 4526, completed file 6338
t = 4580, completed file 13971
t = 4632, completed file 24478
t = 4652, completed file 24603
t = 4757, completed file 3216
t = 4806, completed file 13117
t = 4924, completed file 7948
t = 5032, completed file 24428
t = 5036, completed file 12840
t = 5150, completed file 414
t = 5271, completed file 16085
t = 5367, completed file 15808
t = 5404, completed file 15071
t = 5420, completed file 6709
t = 5489, completed file 6176
t = 5491, completed file 23632
t = 5584, completed file 11797
t = 5623, completed file 3199
t = 5745, completed file 12657
t = 5799, completed file 1601
t = 5924, completed file 6467
t = 5992, completed file 6099
t = 6067, completed file 12426
t = 6170, completed file 8010
t = 6208, completed file 12732
t = 6270, completed file 15924
t = 6373, completed file 14732
t = 6391, completed file 15412
t = 6505, completed file 12490
t = 6548, completed file 3083
t = 6635, completed file 15714
t = 6695, completed file 23803
t = 6772, completed file 12781
t = 6841, completed file 10788
t = 6915, completed file 3695
t = 7022, completed file 13259
t = 7094, completed file 13177
t = 7213, completed file 12682
t = 7281, completed file 12635
t = 7329, completed file 13725
t = 7345, completed file 13213
t = 7424, completed file 12610
t = 7442, completed file 6287
t = 7456, completed file 14071
t = 7563, completed file 6946
t = 7680, completed file 3300
t = 7763, completed file 3114
t = 7851, completed file 12000
t = 7923, completed file 22961
t = 8028, completed file 14957
t = 8115, completed file 1972
t = 8202, completed file 7077
t = 8221, completed file 6474
t = 8297, completed file 16266
t = 8328, completed file 16304
t = 8338, completed file 5661
t = 8452, completed file 22755
t = 8568, completed file 7157
t = 8588, completed file 6985
t = 8705, completed file 12936
t = 8729, completed file 13566
t = 8730, completed file 10644
t = 8826, completed file 11864
t = 8836, completed file 7223
t = 8885, completed file 13853
t = 8891, completed file 7202
t = 8977, completed file 7245
t = 9017, completed file 15919
t = 9073, completed file 370
t = 9159, completed file 11144
t = 9240, completed file 413
t = 9328, completed file 6952
t = 9451, completed file 23189
t = 9527, completed file 24835
t = 9594, completed file 3292
t = 9714, completed file 12629
t = 9771, completed file 5194
t = 9835, completed file 2838
t = 9957, completed file 12915
t = 10048, completed file 6159
t = 10077, completed file 15682
t = 10103, completed file 6173
t = 10118, completed file 15471
t = 10147, completed file 13773
t = 10246, completed file 23524
t = 10290, completed file 9463
t = 10363, completed file 24786
t = 10428, completed file 6295
t = 10487, completed file 13967
t = 10513, completed file 13191
t = 10525, completed file 6778
t = 10574, completed file 840
t = 10609, completed file 24980
t = 10667, completed file 16207
t = 10705, completed file 24202
t = 10828, completed file 13437
t = 10882, completed file 14331
t = 10975, completed file 22555
t = 10985, completed file 10892
t = 11042, completed file 22026
t = 11148, completed file 10650
t = 11216, completed file 15349
t = 11302, completed file 11231
t = 11386, completed file 13915
t = 11414, completed file 2031
t = 11423, completed file 15314
t = 11436, completed file 15299
t = 11466, completed file 2634
t = 11555, completed file 13561
t = 11566, completed file 11822
t = 11586, completed file 23689
t = 11663, completed file 11094
t = 11678, completed file 23066
t = 11739, completed file 6206
t = 11825, completed file 20514
t = 11894, completed file 13161
t = 11927, completed file 13661
t = 11966, completed file 13921
t = 11978, completed file 7387
t = 12100, completed file 3704
t = 12104, completed file 675
t = 12159, completed file 12028
t = 12213, completed file 680
t = 12335, completed file 16444
t = 12419, completed file 13227
t = 12491, completed file 887
t = 12616, completed file 24361
t = 12641, completed file 11080
t = 12720, completed file 7464
t = 12845, completed file 21989
t = 12884, completed file 3394
t = 12905, completed file 14034
t = 12961, completed file 23242
t = 12973, completed file 7498
t = 13053, completed file 22304
t = 13075, completed file 12943
t = 13195, completed file 23146
t = 13292, completed file 11711
t = 13366, completed file 12909
t = 13390, completed file 1856
t = 13493, completed file 13045
t = 13503, completed file 22155
t = 13614, completed file 11683
