t = 5, completed file 56
t = 7, completed file 148
t = 8, completed file 281
t = 10, completed file 393
t = 11, completed file 427
t = 13, completed file 127
t = 14, completed file 676
t = 16, completed file 780
t = 17, completed file 851
t = 26, completed file 78
t = 27, completed file 1490
t = 36, completed file 118
t = 37, completed file 1907
t = 38, completed file 2132
t = 39, completed file 2174
t = 67, completed file 484
t = 68, completed file 3898
t = 69, completed file 3789
t = 70, completed file 4031
t = 71, completed file 4083
t = 72, completed file 3602
t = 73, completed file 3375
t = 133, completed file 504
t = 134, completed file 7769
t = 135, completed file 7750
t = 136, completed file 7665
t = 137, completed file 7651
t = 226, completed file 2073
t = 227, completed file 13463
t = 228, completed file 13437
t = 229, completed file 13601
t = 304, completed file 8156
t = 305, completed file 18148
t = 306, completed file 16315
t = 307, completed file 18301
t = 308, completed file 16183
t = 309, completed file 16107
t = 310, completed file 15910
t = 311, completed file 15833
t = 312, completed file 15774
t = 410, completed file 8211
t = 411, completed file 24538
t = 537, completed file 13502
t = 538, completed file 32021
t = 539, completed file 31933
t = 540, completed file 31911
t = 541, completed file 31719
t = 542, completed file 31497
t = 543, completed file 32455
t = 661, completed file 8188
t = 662, completed file 39470
t = 663, completed file 39634
t = 769, completed file 32520
t = 770, completed file 39832
t = 809, completed file 32816
t = 918, completed file 39883
t = 981, completed file 2450
t = 1080, completed file 39792
t = 1167, completed file 39838
t = 1250, completed file 39767
t = 1371, completed file 19829
t = 1406, completed file 39591
t = 1495, completed file 38700
t = 1540, completed file 305
t = 1637, completed file 9833
t = 1700, completed file 39673
t = 1714, completed file 4906
t = 1804, completed file 39828
t = 1856, completed file 39742
t = 1900, completed file 38949
t = 1903, completed file 39522
t = 1998, completed file 19753
t = 2073, completed file 9893
t = 2092, completed file 298
t = 2187, completed file 2451
t = 2303, completed file 9852
t = 2394, completed file 1285
t = 2442, completed file 38471
t = 2556, completed file 39175
t = 2624, completed file 9754
t = 2677, completed file 39152
t = 2713, completed file 20467
t = 2809, completed file 39145
t = 2894, completed file 8171
t = 2989, completed file 39219
t = 3077, completed file 39248
t = 3087, completed file 39499
t = 3202, completed file 39502
t = 3294, completed file 38192
t = 3304, completed file 38951
t = 3335, completed file 19441
t = 3379, completed file 39205
t = 3418, completed file 39199
t = 3428, completed file 20083
t = 3501, completed file 4974
t = 3529, completed file 38682
t = 3559, completed file 19543
t = 3597, completed file 9900
t = 3702, completed file 9598
t = 3815, completed file 4833
t = 3899, completed file 38861
t = 3982, completed file 39413
t = 4050, completed file 39328
t = 4111, completed file 19481
t = 4133, completed file 20170
t = 4149, completed file 19138
t = 4192, completed file 9908
t = 4227, completed file 1240
t = 4245, completed file 39598
t = 4260, completed file 4455
t = 4320, completed file 9849
t = 4417, completed file 9594
t = 4527, completed file 9589
t = 4578, completed file 38155
t = 4694, completed file 19397
t = 4702, completed file 9770
t = 4794, completed file 39350
t = 4909, completed file 20065
t = 5000, completed file 9808
t = 5100, completed file 38109
t = 5166, completed file 18659
t = 5286, completed file 4815
t = 5376, completed file 19247
t = 5484, completed file 19284
t = 5563, completed file 9853
t = 5640, completed file 39680
t = 5654, completed file 19124
t = 5686, completed file 19131
t = 5698, completed file 1152
t = 5748, completed file 39142
t = 5781, completed file 37672
t = 5890, completed file 152
t = 5933, completed file 39066
t = 6050, completed file 19348
t = 6129, completed file 19311
t = 6219, completed file 38897
t = 6274, completed file 19427
t = 6367, completed file 18134
t = 6411, completed file 37502
t = 6526, completed file 31308
t = 6538, completed file 38490
t = 6574, completed file 19410
t = 6696, completed file 19418
t = 6741, completed file 38407
t = 6824, completed file 18456
t = 6857, completed file 37328
t = 6961, completed file 2291
t = 7040, completed file 20131
t = 7131, completed file 2360
t = 7192, completed file 38190
t = 7300, completed file 37289
t = 7307, completed file 20151
t = 7315, completed file 10024
t = 7433, completed file 37234
t = 7486, completed file 4687
t = 7501, completed file 38427
t = 7589, completed file 9274
t = 7670, completed file 10129
t = 7716, completed file 36858
t = 7800, completed file 38964
t = 7836, completed file 38095
t = 7920, completed file 9126
t = 7926, completed file 18750
t = 7951, completed file 9404
t = 7967, completed file 19109
t = 7976, completed file 37388
t = 8022, completed file 4650
t = 8123, completed file 4494
t = 8189, completed file 8727
t = 8214, completed file 38591
t = 8227, completed file 9622
t = 8236, completed file 38595
t = 8340, completed file 18375
t = 8345, completed file 9147
t = 8462, completed file 4546
t = 8499, completed file 16943
t = 8516, completed file 17778
t = 8613, completed file 18685
t = 8624, completed file 9315
t = 8667, completed file 37396
t = 8725, completed file 36822
t = 8754, completed file 20499
t = 8881, completed file 35520
t = 8931, completed file 18158
t = 9014, completed file 37213
t = 9134, completed file 37333
t = 9193, completed file 4676
t = 9265, completed file 37800
t = 9344, completed file 38980
t = 9421, completed file 19027
t = 9505, completed file 19221
t = 9511, completed file 38077
t = 9582, completed file 38062
t = 9600, completed file 18564
t = 9723, completed file 19272
t = 9768, completed file 610
t = 9795, completed file 36651
t = 9896, completed file 34994
t = 10003, completed file 37001
t = 10014, completed file 39690
t = 10018, completed file 19583
t = 10027, completed file 35734
t = 10122, completed file 8891
t = 10187, completed file 38465
t = 10267, completed file 8391
t = 10311, completed file 19166
t = 10337, completed file 33693
t = 10417, completed file 10103
t = 10488, completed file 33667
t = 10560, completed file 37770
t = 10597, completed file 1130
t = 10648, completed file 37204
t = 10668, completed file 36535
t = 10766, completed file 16957
t = 10864, completed file 35584
t = 10894, completed file 39393
t = 10983, completed file 36735
t = 11054, completed file 18865
t = 11142, completed file 18539
t = 11204, completed file 35660
t = 11256, completed file 37521
t = 11346, completed file 33245
t = 11368, completed file 18651
t = 11398, completed file 35972
t = 11470, completed file 22988
t = 11530, completed file 36048
t = 11609, completed file 770
t = 11729, completed file 18328
t = 11856, completed file 9641
t = 11883, completed file 2178
t = 12007, completed file 9921
t = 12114, completed file 18904
t = 12160, completed file 37065
t = 12284, completed file 17618
t = 12290, completed file 18774
t = 12343, completed file 37270
t = 12353, completed file 35814
t = 12476, completed file 4449
t = 12548, completed file 37535
t = 12573, completed file 9131
t = 12700, completed file 9803
t = 12713, completed file 36477
t = 12840, completed file 36462
t = 12939, completed file 38414
t = 13024, completed file 15519
t = 13043, completed file 39594
t = 13147, completed file 4125
t = 13167, completed file 38592
t = 13210, completed file 18807
t = 13312, completed file 22929
t = 13361, completed file 9346
t = 13433, completed file 34888
t = 13493, completed file 20457
t = 13525, completed file 37212
t = 13646, completed file 35751
t = 13683, completed file 35236
t = 13701, completed file 36697
t = 13823, completed file 1200
t = 13857, completed file 17504
t = 13907, completed file 19218
t = 13912, completed file 8257
t = 13924, completed file 33135
t = 13942, completed file 11396
t = 14023, completed file 36363
t = 14066, completed file 29233
t = 14156, completed file 35718
t = 14229, completed file 16263
t = 14237, completed file 19415
t = 14349, completed file 9701
t = 14366, completed file 8637
t = 14394, completed file 36934
t = 14429, completed file 17259
t = 14444, completed file 34732
t = 14494, completed file 36064
t = 14539, completed file 19160
t = 14567, completed file 34806
t = 14568, completed file 20066
t = 14645, completed file 20516
t = 14655, completed file 31431
t = 14776, completed file 15678
t = 14809, completed file 38797
t = 14852, completed file 4318
t = 14892, completed file 17305
t = 15014, completed file 17843
t = 15120, completed file 18384
t = 15211, completed file 18773
t = 15266, completed file 37640
t = 15349, completed file 17359
t = 15449, completed file 19379
t = 15484, completed file 37839
t = 15549, completed file 4763
t = 15640, completed file 4299
t = 15681, completed file 18243
t = 15757, completed file 19511
t = 15853, completed file 8
t = 15960, completed file 9758
t = 15966, completed file 34793
t = 15999, completed file 34778
t = 16031, completed file 34808
t = 16045, completed file 37599
t = 16170, completed file 8678
t = 16281, completed file 4656
t = 16327, completed file 15325
t = 16427, completed file 33828
t = 16457, completed file 17237
t = 16483, completed file 38377
t = 16511, completed file 34915
t = 16623, completed file 17965
t = 16747, completed file 4985
t = 16874, completed file 37655
t = 16898, completed file 22142
t = 16995, completed file 39035
t = 17010, completed file 14916
t = 17027, completed file 34607
t = 17097, completed file 33513
t = 17212, completed file 4460
t = 17254, completed file 19565
t = 17316, completed file 15197
t = 17392, completed file 17118
t = 17446, completed file 34028
t = 17564, completed file 36013
t = 17600, completed file 39717
t = 17683, completed file 8372
t = 17793, completed file 14884
t = 17878, completed file 18911
t = 17902, completed file 21865
t = 18026, completed file 31156
t = 18073, completed file 18089
t = 18088, completed file 35443
t = 18111, completed file 1237
t = 18194, completed file 18932
t = 18316, completed file 6137
t = 18354, completed file 39451
t = 18362, completed file 4223
t = 18463, completed file 34068
t = 18554, completed file 35530
t = 18582, completed file 16522
t = 18645, completed file 16493
t = 18692, completed file 22685
t = 18797, completed file 8498
t = 18809, completed file 34281
t = 18817, completed file 34266
t = 18839, completed file 38566
t = 18908, completed file 14527
t = 18917, completed file 10956
t = 18930, completed file 10959
t = 18993, completed file 34785
t = 19105, completed file 34543
t = 19127, completed file 34894
t = 19193, completed file 9991
t = 19216, completed file 24492
t = 19226, completed file 37607
t = 19335, completed file 37443
t = 19374, completed file 9854
t = 19485, completed file 18472
t = 19585, completed file 34625
t = 19673, completed file 24316
t = 19774, completed file 39585
t = 19875, completed file 17870
t = 19912, completed file 33278
t = 19949, completed file 33272
t = 20041, completed file 29196
t = 20096, completed file 17489
t = 20180, completed file 35314
t = 20270, completed file 35107
t = 20324, completed file 39408
t = 20444, completed file 4452
t = 20500, completed file 18534
t = 20567, completed file 10237
t = 20593, completed file 10111
t = 20624, completed file 18851
t = 20640, completed file 34471
t = 20751, completed file 39173
t = 20843, completed file 35714
t = 20911, completed file 36455
t = 20964, completed file 18234
t = 21046, completed file 9454
t = 21101, completed file 22592
t = 21116, completed file 11588
t = 21227, completed file 29985
t = 21271, completed file 5902
t = 21289, completed file 35465
t = 21309, completed file 10528
t = 21424, completed file 16925
t = 21442, completed file 29915
t = 21519, completed file 18821
t = 21612, completed file 3068
t = 21683, completed file 18833
t = 21714, completed file 33281
t = 21809, completed file 16750
t = 21917, completed file 34978
t = 21978, completed file 8595
t = 22022, completed file 19340
t = 22084, completed file 9473
t = 22166, completed file 9445
t = 22226, completed file 34914
t = 22337, completed file 23271
t = 22347, completed file 5372
t = 22452, completed file 20571
t = 22529, completed file 14571
t = 22550, completed file 20000
t = 22611, completed file 3066
t = 22613, completed file 36075
t = 22710, completed file 4438
t = 22729, completed file 18797
t = 22833, completed file 34613
t = 22867, completed file 2104
t = 22903, completed file 11798
t = 22925, completed file 36747
t = 22978, completed file 29731
t = 23057, completed file 2866
t = 23084, completed file 38365
t = 23134, completed file 11429
t = 23176, completed file 24027
t = 23254, completed file 37501
t = 23300, completed file 18304
t = 23384, completed file 2556
t = 23403, completed file 17973
t = 23455, completed file 18729
t = 23544, completed file 16785
t = 23610, completed file 24416
t = 23664, completed file 19951
t = 23680, completed file 7768
t = 23786, completed file 35616
t = 23874, completed file 23592
t = 23944, completed file 17403
t = 24044, completed file 17211
t = 24166, completed file 10265
t = 24277, completed file 35971
t = 24351, completed file 9259
t = 24415, completed file 2309
t = 24526, completed file 4975
t = 24544, completed file 35425
t = 24550, completed file 4737
t = 24631, completed file 36968
t = 24682, completed file 13164
t = 24711, completed file 4667
t = 24783, completed file 30953
t = 24812, completed file 38475
t = 24849, completed file 21793
t = 24936, completed file 23723
t = 25055, completed file 20506
t = 25100, completed file 38761
t = 25215, completed file 17320
t = 25255, completed file 11693
t = 25362, completed file 38050
t = 25396, completed file 283
t = 25410, completed file 17876
t = 25447, completed file 35836
t = 25506, completed file 20329
t = 25552, completed file 33264
t = 25664, completed file 5845
t = 25731, completed file 36025
t = 25788, completed file 38259
t = 25796, completed file 22709
t = 25918, completed file 34003
t = 25964, completed file 4611
t = 26078, completed file 9518
t = 26123, completed file 4553
t = 26164, completed file 5083
t = 26180, completed file 38215
t = 26285, completed file 4822
t = 26338, completed file 37102
t = 26415, completed file 2137
t = 26489, completed file 9839
t = 26508, completed file 32978
t = 26607, completed file 22540
t = 26698, completed file 30915
t = 26745, completed file 1058
t = 26756, completed file 14156
t = 26817, completed file 28371
t = 26931, completed file 20500
t = 27017, completed file 5585
t = 27090, completed file 16166
t = 27104, completed file 2151
t = 27153, completed file 35429
t = 27209, completed file 23322
t = 27210, completed file 37051
t = 27281, completed file 37932
t = 27334, completed file 2299
t = 27459, completed file 22369
t = 27538, completed file 1405
t = 27643, completed file 9523
t = 27730, completed file 22822
t = 27750, completed file 37631
t = 27826, completed file 17438
t = 27945, completed file 17187
t = 28018, completed file 16714
t = 28080, completed file 21755
t = 28169, completed file 37507
t = 28286, completed file 39414
t = 28316, completed file 11495
t = 28403, completed file 22120
t = 28501, completed file 22839
t = 28545, completed file 2453
t = 28651, completed file 36480
t = 28682, completed file 8358
t = 28722, completed file 4784
t = 28811, completed file 27786
t = 28867, completed file 36490
t = 28868, completed file 16507
t = 28884, completed file 36140
t = 28929, completed file 38293
t = 28947, completed file 18858
t = 28973, completed file 18214
t = 29028, completed file 19572
t = 29037, completed file 38657
t = 29077, completed file 18438
t = 29081, completed file 19106
t = 29185, completed file 38221
t = 29279, completed file 167
t = 29329, completed file 4256
t = 29402, completed file 39223
t = 29470, completed file 27959
t = 29509, completed file 33571
t = 29611, completed file 1985
t = 29734, completed file 34897
t = 29837, completed file 9103
t = 29945, completed file 5459
t = 30028, completed file 5935
t = 30032, completed file 1270
t = 30038, completed file 35688
t = 30146, completed file 18808
t = 30231, completed file 18276
t = 30296, completed file 4527
t = 30307, completed file 11115
t = 30380, completed file 22256
t = 30415, completed file 24302
t = 30507, completed file 10869
t = 30585, completed file 2078
t = 30700, completed file 35927
t = 30819, completed file 24258
t = 30908, completed file 37004
t = 31021, completed file 10810
t = 31140, completed file 33006
t = 31171, completed file 2194
t = 31220, completed file 32701
t = 31331, completed file 39096
t = 31411, completed file 20814
t = 31511, completed file 11040
t = 31627, completed file 5071
t = 31638, completed file 5184
t = 31720, completed file 20861
t = 31806, completed file 1514
t = 31825, completed file 39200
t = 31860, completed file 35407
t = 31915, completed file 28378
t = 31983, completed file 1518
t = 32054, completed file 4825
t = 32093, completed file 33836
t = 32135, completed file 18047
t = 32139, completed file 18418
t = 32187, completed file 18681
t = 32302, completed file 34906
t = 32333, completed file 19665
t = 32393, completed file 36594
t = 32501, completed file 17569
t = 32549, completed file 8887
t = 32580, completed file 17499
t = 32611, completed file 36757
t = 32613, completed file 34275
t = 32637, completed file 2123
t = 32737, completed file 15526
t = 32769, completed file 18672
t = 32772, completed file 35072
t = 32823, completed file 22742
t = 32917, completed file 19577
t = 32972, completed file 4015
t = 33055, completed file 28893
t = 33112, completed file 8838
t = 33211, completed file 13710
t = 33269, completed file 309
t = 33363, completed file 33979
t = 33458, completed file 4345
t = 33459, completed file 28488
t = 33532, completed file 29220
t = 33617, completed file 4581
t = 33633, completed file 15405
t = 33744, completed file 22678
t = 33850, completed file 14369
t = 33936, completed file 34728
t = 33944, completed file 33928
t = 34060, completed file 17415
t = 34067, completed file 9723
t = 34094, completed file 38472
t = 34158, completed file 16428
t = 34235, completed file 23363
t = 34299, completed file 36562
t = 34376, completed file 697
t = 34407, completed file 7123
t = 34454, completed file 33445
t = 34465, completed file 5852
t = 34514, completed file 18557
t = 34549, completed file 34651
t = 34660, completed file 18831
t = 34669, completed file 10310
