t = 103, completed file 1
t = 104, completed file 1175
t = 105, completed file 361
t = 106, completed file 1108
t = 107, completed file 581
t = 108, completed file 760
t = 109, completed file 614
t = 110, completed file 454
t = 111, completed file 560
t = 113, completed file 967
t = 115, completed file 1237
t = 117, completed file 610
t = 119, completed file 537
t = 208, completed file 615
t = 334, completed file 1236
t = 436, completed file 150
t = 467, completed file 1179
t = 534, completed file 1131
t = 621, completed file 594
t = 705, completed file 75
t = 814, completed file 144
t = 854, completed file 1080
t = 892, completed file 272
t = 944, completed file 1208
t = 1003, completed file 1026
t = 1029, completed file 482
t = 1128, completed file 254
t = 1235, completed file 990
t = 1293, completed file 69
t = 1344, completed file 562
t = 1382, completed file 290
t = 1471, completed file 573
t = 1592, completed file 951
t = 1678, completed file 1031
t = 1771, completed file 19
t = 1859, completed file 464
t = 1957, completed file 912
t = 2064, completed file 715
t = 2111, completed file 1195
t = 2139, completed file 83
t = 2146, completed file 231
t = 2210, completed file 1123
t = 2337, completed file 628
t = 2426, completed file 255
t = 2508, completed file 946
t = 2591, completed file 1141
t = 2595, completed file 1058
t = 2683, completed file 159
t = 2698, completed file 1213
t = 2711, completed file 1217
t = 2773, completed file 74
t = 2861, completed file 1232
t = 2985, completed file 577
t = 3068, completed file 943
t = 3153, completed file 421
t = 3226, completed file 702
t = 3239, completed file 889
t = 3246, completed file 601
t = 3322, completed file 893
t = 3347, completed file 792
t = 3438, completed file 1062
t = 3487, completed file 671
t = 3530, completed file 835
t = 3590, completed file 459
t = 3671, completed file 934
t = 3684, completed file 677
t = 3775, completed file 737
t = 3872, completed file 469
t = 3901, completed file 140
t = 4010, completed file 636
t = 4117, completed file 590
t = 4234, completed file 1075
t = 4289, completed file 789
t = 4353, completed file 138
t = 4357, completed file 707
t = 4459, completed file 787
t = 4542, completed file 334
t = 4569, completed file 380
t = 4689, completed file 129
t = 4693, completed file 587
t = 4765, completed file 641
t = 4810, completed file 1111
t = 4903, completed file 475
t = 4956, completed file 111
t = 5049, completed file 513
t = 5100, completed file 815
t = 5109, completed file 258
t = 5157, completed file 541
t = 5204, completed file 870
t = 5238, completed file 877
t = 5305, completed file 643
t = 5317, completed file 229
t = 5441, completed file 515
t = 5531, completed file 936
t = 5565, completed file 584
t = 5619, completed file 810
t = 5662, completed file 729
t = 5753, completed file 379
t = 5806, completed file 1040
t = 5846, completed file 1106
t = 5922, completed file 1154
t = 6026, completed file 977
t = 6071, completed file 663
t = 6182, completed file 777
t = 6209, completed file 597
t = 6335, completed file 857
t = 6413, completed file 542
t = 6506, completed file 930
t = 6626, completed file 558
t = 6670, completed file 1000
t = 6731, completed file 627
t = 6821, completed file 1098
t = 6829, completed file 77
t = 6855, completed file 1152
t = 6896, completed file 1085
t = 7013, completed file 242
t = 7076, completed file 922
t = 7119, completed file 1234
t = 7212, completed file 436
t = 7328, completed file 744
t = 7452, completed file 533
t = 7557, completed file 1065
t = 7631, completed file 452
t = 7657, completed file 236
t = 7722, completed file 580
t = 7802, completed file 1178
t = 7904, completed file 232
t = 8027, completed file 622
t = 8139, completed file 278
t = 8201, completed file 434
t = 8288, completed file 1047
t = 8326, completed file 994
t = 8402, completed file 674
