t = 11, completed file 42
t = 13, completed file 383
t = 14, completed file 494
t = 15, completed file 590
t = 16, completed file 624
t = 17, completed file 679
t = 18, completed file 779
t = 19, completed file 729
t = 20, completed file 877
t = 21, completed file 918
t = 32, completed file 52
t = 33, completed file 1156
t = 40, completed file 442
t = 72, completed file 152
t = 130, completed file 617
t = 166, completed file 146
t = 221, completed file 1212
t = 242, completed file 286
t = 338, completed file 598
t = 358, completed file 1201
t = 391, completed file 531
t = 435, completed file 130
t = 485, completed file 1108
t = 608, completed file 68
t = 694, completed file 1107
t = 775, completed file 489
t = 899, completed file 555
t = 911, completed file 214
t = 1005, completed file 998
t = 1077, completed file 1039
t = 1097, completed file 65
t = 1158, completed file 662
t = 1163, completed file 954
t = 1247, completed file 969
t = 1320, completed file 1221
t = 1417, completed file 240
t = 1428, completed file 176
t = 1540, completed file 227
t = 1582, completed file 246
t = 1681, completed file 715
t = 1745, completed file 575
t = 1854, completed file 271
t = 1919, completed file 534
t = 1968, completed file 970
t = 1995, completed file 11
t = 2094, completed file 1225
t = 2157, completed file 262
t = 2163, completed file 1060
t = 2190, completed file 1127
t = 2286, completed file 158
t = 2353, completed file 1095
t = 2441, completed file 1186
t = 2465, completed file 159
t = 2542, completed file 983
t = 2637, completed file 886
t = 2760, completed file 741
t = 2794, completed file 1113
t = 2832, completed file 77
t = 2889, completed file 589
t = 2896, completed file 1022
t = 2976, completed file 817
t = 3047, completed file 171
t = 3131, completed file 897
t = 3139, completed file 202
t = 3211, completed file 912
t = 3247, completed file 1033
t = 3359, completed file 1123
t = 3399, completed file 386
t = 3480, completed file 1000
t = 3490, completed file 949
t = 3579, completed file 951
t = 3611, completed file 142
t = 3718, completed file 407
t = 3811, completed file 71
t = 3910, completed file 390
t = 4009, completed file 1160
t = 4112, completed file 688
t = 4179, completed file 138
t = 4274, completed file 1087
t = 4400, completed file 174
t = 4421, completed file 94
t = 4528, completed file 125
t = 4624, completed file 972
t = 4661, completed file 871
t = 4735, completed file 520
t = 4826, completed file 849
t = 4846, completed file 908
t = 4935, completed file 249
t = 5059, completed file 113
t = 5067, completed file 907
t = 5098, completed file 45
t = 5146, completed file 472
t = 5271, completed file 330
t = 5304, completed file 937
t = 5401, completed file 582
t = 5410, completed file 1018
t = 5413, completed file 109
t = 5453, completed file 735
t = 5464, completed file 20
t = 5500, completed file 530
t = 5603, completed file 599
t = 5605, completed file 946
t = 5727, completed file 1023
t = 5783, completed file 785
t = 5818, completed file 74
t = 5857, completed file 881
t = 5907, completed file 362
t = 6012, completed file 122
t = 6035, completed file 854
t = 6063, completed file 3
t = 6146, completed file 692
t = 6193, completed file 1233
t = 6308, completed file 337
t = 6360, completed file 78
t = 6460, completed file 37
t = 6541, completed file 67
t = 6565, completed file 455
t = 6673, completed file 1024
t = 6729, completed file 769
t = 6821, completed file 515
t = 6880, completed file 1097
t = 6970, completed file 72
t = 7072, completed file 225
t = 7194, completed file 733
t = 7258, completed file 770
t = 7322, completed file 1197
t = 7395, completed file 57
t = 7507, completed file 156
t = 7595, completed file 283
t = 7711, completed file 117
t = 7814, completed file 1112
t = 7863, completed file 1222
t = 7985, completed file 495
t = 8036, completed file 968
t = 8152, completed file 777
t = 8219, completed file 247
t = 8294, completed file 206
t = 8372, completed file 1162
t = 8497, completed file 502
t = 8618, completed file 1056
t = 8640, completed file 858
t = 8649, completed file 498
t = 8716, completed file 459
t = 8760, completed file 851
t = 8815, completed file 766
t = 8918, completed file 456
t = 9003, completed file 168
t = 9105, completed file 127
t = 9163, completed file 503
t = 9281, completed file 457
t = 9367, completed file 725
t = 9421, completed file 707
t = 9540, completed file 252
t = 9638, completed file 823
t = 9740, completed file 26
t = 9784, completed file 791
t = 9833, completed file 1055
t = 9854, completed file 432
t = 9967, completed file 736
t = 10058, completed file 628
t = 10083, completed file 744
t = 10137, completed file 64
t = 10191, completed file 1235
t = 10226, completed file 1154
t = 10279, completed file 619
t = 10307, completed file 272
t = 10336, completed file 787
t = 10401, completed file 108
t = 10467, completed file 1157
t = 10504, completed file 313
t = 10558, completed file 1146
t = 10660, completed file 438
t = 10756, completed file 316
t = 10777, completed file 302
t = 10787, completed file 360
t = 10865, completed file 140
t = 10970, completed file 63
t = 10999, completed file 1088
t = 11036, completed file 1084
t = 11120, completed file 614
t = 11136, completed file 553
t = 11186, completed file 51
t = 11256, completed file 464
t = 11332, completed file 578
t = 11434, completed file 358
t = 11461, completed file 90
t = 11533, completed file 58
t = 11565, completed file 523
t = 11692, completed file 1196
t = 11703, completed file 731
t = 11735, completed file 879
t = 11746, completed file 189
t = 11856, completed file 836
t = 11945, completed file 31
t = 11992, completed file 986
t = 12078, completed file 81
t = 12177, completed file 296
t = 12239, completed file 66
t = 12358, completed file 630
t = 12400, completed file 727
t = 12417, completed file 1181
t = 12528, completed file 933
t = 12566, completed file 1187
t = 12686, completed file 840
t = 12694, completed file 402
t = 12809, completed file 723
t = 12904, completed file 695
t = 12976, completed file 415
t = 12983, completed file 724
t = 13072, completed file 546
t = 13078, completed file 780
t = 13086, completed file 474
t = 13135, completed file 182
t = 13178, completed file 1130
t = 13299, completed file 244
t = 13401, completed file 1135
t = 13463, completed file 833
t = 13542, completed file 267
t = 13660, completed file 1116
t = 13673, completed file 99
t = 13704, completed file 9
t = 13713, completed file 1150
t = 13827, completed file 1211
t = 13847, completed file 999
t = 13857, completed file 102
t = 13984, completed file 291
t = 14059, completed file 1140
t = 14164, completed file 397
t = 14235, completed file 101
t = 14342, completed file 980
t = 14437, completed file 708
t = 14558, completed file 510
t = 14606, completed file 973
t = 14722, completed file 1065
t = 14785, completed file 426
t = 14791, completed file 550
t = 14857, completed file 758
t = 14910, completed file 1165
t = 14930, completed file 401
t = 15007, completed file 648
t = 15073, completed file 89
t = 15094, completed file 408
t = 15154, completed file 678
t = 15229, completed file 756
t = 15241, completed file 989
t = 15265, completed file 587
t = 15301, completed file 265
t = 15399, completed file 1014
t = 15520, completed file 963
t = 15570, completed file 1218
t = 15581, completed file 471
t = 15636, completed file 774
t = 15709, completed file 637
t = 15716, completed file 82
t = 15791, completed file 974
t = 15837, completed file 258
t = 15874, completed file 654
t = 15998, completed file 205
t = 16098, completed file 828
t = 16130, completed file 889
t = 16145, completed file 172
t = 16231, completed file 862
t = 16289, completed file 400
t = 16398, completed file 603
t = 16494, completed file 1042
t = 16598, completed file 579
t = 16666, completed file 208
t = 16747, completed file 1238
t = 16837, completed file 492
t = 16843, completed file 1041
t = 16928, completed file 461
t = 16965, completed file 1003
t = 16970, completed file 1010
t = 17073, completed file 1043
t = 17153, completed file 290
t = 17169, completed file 501
t = 17270, completed file 468
t = 17317, completed file 592
t = 17324, completed file 338
t = 17424, completed file 690
t = 17439, completed file 704
t = 17553, completed file 49
t = 17568, completed file 120
t = 17573, completed file 93
t = 17597, completed file 845
t = 17682, completed file 1015
t = 17807, completed file 414
t = 17813, completed file 274
t = 17928, completed file 831
t = 18041, completed file 681
t = 18163, completed file 536
t = 18266, completed file 345
t = 18368, completed file 366
t = 18493, completed file 180
t = 18504, completed file 1189
t = 18533, completed file 1172
t = 18586, completed file 909
t = 18695, completed file 775
t = 18782, completed file 643
t = 18871, completed file 861
t = 18987, completed file 719
t = 19009, completed file 629
t = 19062, completed file 586
t = 19171, completed file 742
t = 19177, completed file 869
t = 19183, completed file 691
t = 19194, completed file 847
t = 19284, completed file 526
t = 19330, completed file 566
t = 19379, completed file 1078
t = 19487, completed file 198
t = 19530, completed file 755
t = 19559, completed file 917
t = 19629, completed file 105
t = 19733, completed file 453
t = 19754, completed file 610
t = 19777, completed file 288
t = 19859, completed file 192
t = 19898, completed file 1234
t = 19925, completed file 273
t = 20006, completed file 1131
t = 20096, completed file 145
t = 20129, completed file 213
t = 20139, completed file 61
t = 20189, completed file 751
t = 20283, completed file 40
t = 20367, completed file 1236
t = 20476, completed file 804
t = 20502, completed file 1080
t = 20531, completed file 437
t = 20590, completed file 1034
t = 20649, completed file 584
t = 20729, completed file 116
t = 20739, completed file 365
t = 20853, completed file 421
t = 20955, completed file 717
t = 21026, completed file 39
t = 21032, completed file 813
t = 21080, completed file 1111
t = 21206, completed file 1092
t = 21281, completed file 278
t = 21344, completed file 250
t = 21401, completed file 511
t = 21484, completed file 1070
t = 21494, completed file 904
t = 21595, completed file 824
t = 21648, completed file 1068
t = 21748, completed file 405
t = 21820, completed file 866
t = 21886, completed file 241
t = 21890, completed file 856
t = 21975, completed file 959
t = 21987, completed file 696
t = 22064, completed file 1153
t = 22067, completed file 581
t = 22128, completed file 953
t = 22183, completed file 371
t = 22254, completed file 976
t = 22280, completed file 1118
t = 22368, completed file 306
t = 22450, completed file 916
t = 22525, completed file 13
t = 22582, completed file 1067
