t = 43, completed file 1
t = 44, completed file 2288
t = 45, completed file 2400
t = 46, completed file 2435
t = 47, completed file 726
t = 48, completed file 349
t = 49, completed file 74
t = 50, completed file 122
t = 51, completed file 2704
t = 52, completed file 2796
t = 53, completed file 1392
t = 54, completed file 2902
t = 55, completed file 2944
t = 56, completed file 3031
t = 57, completed file 3071
t = 58, completed file 1309
t = 84, completed file 1583
t = 85, completed file 4454
t = 86, completed file 4828
t = 87, completed file 3791
t = 88, completed file 3456
t = 89, completed file 3275
t = 118, completed file 2406
t = 119, completed file 6666
t = 120, completed file 6625
t = 211, completed file 2040
t = 212, completed file 12328
t = 213, completed file 12276
t = 214, completed file 7944
t = 215, completed file 7547
t = 216, completed file 7077
t = 258, completed file 6962
t = 259, completed file 15220
t = 260, completed file 15213
t = 261, completed file 15070
t = 362, completed file 8211
t = 363, completed file 15921
t = 364, completed file 15889
t = 365, completed file 15863
t = 366, completed file 15845
t = 367, completed file 15772
t = 487, completed file 12543
t = 543, completed file 15930
t = 544, completed file 13293
t = 609, completed file 3952
t = 664, completed file 15909
t = 767, completed file 4032
t = 865, completed file 15754
t = 892, completed file 7776
t = 1012, completed file 8090
t = 1096, completed file 3956
t = 1144, completed file 15745
t = 1249, completed file 7700
t = 1358, completed file 15762
t = 1389, completed file 15849
t = 1473, completed file 963
t = 1552, completed file 15557
t = 1634, completed file 15843
t = 1731, completed file 3878
t = 1849, completed file 7792
t = 1874, completed file 1927
t = 1887, completed file 1931
t = 1895, completed file 15639
t = 1975, completed file 3788
t = 2073, completed file 14062
t = 2107, completed file 15441
t = 2145, completed file 7757
t = 2235, completed file 15798
t = 2299, completed file 14669
t = 2326, completed file 15506
t = 2371, completed file 4063
t = 2435, completed file 15537
t = 2447, completed file 1841
t = 2486, completed file 15460
t = 2527, completed file 7584
t = 2626, completed file 241
t = 2719, completed file 15202
t = 2723, completed file 14488
t = 2752, completed file 7208
t = 2869, completed file 14265
t = 2987, completed file 15157
t = 3041, completed file 15470
t = 3073, completed file 7866
t = 3117, completed file 55
t = 3152, completed file 15226
t = 3264, completed file 7611
t = 3303, completed file 15794
t = 3422, completed file 15891
t = 3485, completed file 7203
t = 3510, completed file 15453
t = 3522, completed file 15340
t = 3574, completed file 3810
t = 3632, completed file 15137
t = 3671, completed file 15402
t = 3788, completed file 8072
t = 3791, completed file 7064
t = 3812, completed file 14117
t = 3890, completed file 3823
t = 3940, completed file 15053
t = 4045, completed file 15259
t = 4083, completed file 15320
t = 4158, completed file 15538
t = 4252, completed file 7705
t = 4315, completed file 14816
t = 4420, completed file 3633
t = 4488, completed file 15417
t = 4552, completed file 2003
t = 4661, completed file 15021
t = 4749, completed file 15000
t = 4788, completed file 14016
t = 4823, completed file 14586
t = 4933, completed file 7469
t = 5056, completed file 7164
t = 5182, completed file 1838
t = 5226, completed file 7444
t = 5239, completed file 14197
t = 5296, completed file 6861
t = 5399, completed file 14351
t = 5501, completed file 15596
t = 5538, completed file 15197
t = 5546, completed file 14844
t = 5658, completed file 14848
t = 5741, completed file 7548
t = 5814, completed file 7480
t = 5829, completed file 7118
t = 5863, completed file 7358
t = 5942, completed file 242
t = 6039, completed file 3354
t = 6132, completed file 13078
t = 6189, completed file 7051
t = 6306, completed file 7382
t = 6327, completed file 3765
t = 6392, completed file 58
t = 6430, completed file 7497
t = 6454, completed file 1759
t = 6467, completed file 14065
t = 6511, completed file 7020
t = 6637, completed file 14400
t = 6682, completed file 14199
t = 6719, completed file 7464
t = 6837, completed file 14849
t = 6891, completed file 15910
t = 6904, completed file 13837
t = 6972, completed file 6864
t = 7015, completed file 6670
t = 7102, completed file 3550
t = 7125, completed file 7401
t = 7229, completed file 13773
t = 7233, completed file 12858
t = 7331, completed file 1564
t = 7364, completed file 7146
t = 7416, completed file 7389
t = 7524, completed file 7614
t = 7546, completed file 14514
t = 7633, completed file 12612
t = 7664, completed file 3645
t = 7690, completed file 13794
t = 7784, completed file 3614
t = 7893, completed file 14072
t = 7930, completed file 4097
t = 8043, completed file 12418
t = 8108, completed file 14034
t = 8112, completed file 7447
t = 8236, completed file 3922
t = 8294, completed file 15725
t = 8396, completed file 2010
t = 8490, completed file 8030
t = 8601, completed file 13445
t = 8702, completed file 15107
t = 8777, completed file 3700
t = 8899, completed file 15800
t = 8971, completed file 14910
t = 9064, completed file 6198
t = 9116, completed file 6782
t = 9147, completed file 981
t = 9215, completed file 7442
t = 9241, completed file 6997
t = 9344, completed file 15354
t = 9422, completed file 994
t = 9428, completed file 14952
t = 9554, completed file 14955
t = 9654, completed file 7385
t = 9684, completed file 15026
t = 9772, completed file 3
t = 9789, completed file 14616
t = 9857, completed file 14912
t = 9957, completed file 12966
t = 10017, completed file 13465
t = 10113, completed file 12902
t = 10215, completed file 1526
t = 10279, completed file 3843
t = 10311, completed file 7115
t = 10406, completed file 13949
t = 10423, completed file 12820
t = 10509, completed file 7266
t = 10634, completed file 3733
t = 10646, completed file 1763
t = 10687, completed file 13564
t = 10740, completed file 7402
t = 10822, completed file 8066
t = 10908, completed file 4108
t = 10951, completed file 12960
t = 10978, completed file 1596
t = 11085, completed file 13055
t = 11202, completed file 3137
t = 11312, completed file 14661
t = 11357, completed file 12474
t = 11435, completed file 370
t = 11442, completed file 7925
t = 11540, completed file 15883
t = 11547, completed file 6615
t = 11655, completed file 13261
t = 11710, completed file 7885
t = 11737, completed file 14713
t = 11808, completed file 12143
t = 11883, completed file 7232
t = 11886, completed file 14466
t = 11946, completed file 12593
t = 12002, completed file 13216
t = 12072, completed file 4109
t = 12082, completed file 6136
t = 12118, completed file 207
t = 12187, completed file 15208
t = 12244, completed file 14387
t = 12276, completed file 3358
t = 12389, completed file 15016
t = 12503, completed file 13388
t = 12596, completed file 13190
t = 12698, completed file 13746
t = 12818, completed file 14043
t = 12848, completed file 2041
t = 12919, completed file 6130
t = 12931, completed file 724
t = 13007, completed file 2929
t = 13055, completed file 7916
t = 13058, completed file 6845
t = 13143, completed file 13715
t = 13169, completed file 12364
t = 13248, completed file 14655
t = 13255, completed file 6961
t = 13376, completed file 1249
t = 13422, completed file 1891
t = 13485, completed file 6921
t = 13533, completed file 2456
t = 13542, completed file 3792
t = 13606, completed file 904
t = 13729, completed file 1784
t = 13852, completed file 7254
t = 13934, completed file 12940
t = 13955, completed file 12463
t = 14021, completed file 15651
t = 14136, completed file 3579
t = 14210, completed file 11673
t = 14229, completed file 3816
t = 14315, completed file 11469
t = 14388, completed file 6706
t = 14418, completed file 7330
t = 14519, completed file 3474
t = 14559, completed file 3373
t = 14571, completed file 7318
t = 14647, completed file 14628
t = 14666, completed file 15198
t = 14688, completed file 13061
t = 14693, completed file 4822
t = 14784, completed file 9763
t = 14857, completed file 3128
t = 14924, completed file 3502
t = 15008, completed file 3209
t = 15135, completed file 7784
t = 15204, completed file 14663
t = 15236, completed file 3683
t = 15362, completed file 14819
t = 15389, completed file 3442
t = 15502, completed file 7095
t = 15571, completed file 13145
t = 15674, completed file 11230
t = 15783, completed file 7004
t = 15871, completed file 3453
t = 15951, completed file 11618
t = 16063, completed file 7540
t = 16119, completed file 12640
