t = 8, completed file 1
t = 9, completed file 118
t = 10, completed file 243
t = 11, completed file 53
t = 12, completed file 52
t = 13, completed file 38
t = 15, completed file 307
t = 16, completed file 630
t = 18, completed file 642
t = 24, completed file 326
t = 25, completed file 1202
t = 32, completed file 112
t = 33, completed file 1591
t = 74, completed file 23
t = 75, completed file 4198
t = 76, completed file 3969
t = 77, completed file 3493
t = 78, completed file 4381
t = 79, completed file 4434
t = 170, completed file 252
t = 171, completed file 9825
t = 172, completed file 10003
t = 173, completed file 10049
t = 174, completed file 7904
t = 175, completed file 7787
t = 292, completed file 2058
t = 293, completed file 15928
t = 294, completed file 15910
t = 295, completed file 15851
t = 296, completed file 15727
t = 297, completed file 15597
t = 419, completed file 8206
t = 447, completed file 15930
t = 572, completed file 15916
t = 630, completed file 8195
t = 690, completed file 15881
t = 715, completed file 15760
t = 811, completed file 1019
t = 828, completed file 7935
t = 882, completed file 1979
t = 976, completed file 15726
t = 980, completed file 1980
t = 1034, completed file 15849
t = 1065, completed file 15858
t = 1079, completed file 15815
t = 1099, completed file 3946
t = 1137, completed file 7946
t = 1243, completed file 7776
t = 1270, completed file 15570
t = 1309, completed file 15844
t = 1373, completed file 3935
t = 1475, completed file 15585
t = 1506, completed file 3909
t = 1559, completed file 15608
t = 1643, completed file 7879
t = 1691, completed file 64
t = 1736, completed file 3667
t = 1846, completed file 15623
t = 1856, completed file 15392
t = 1909, completed file 7688
t = 2007, completed file 8155
t = 2052, completed file 3959
t = 2112, completed file 7695
t = 2238, completed file 1878
t = 2270, completed file 13925
t = 2324, completed file 7625
t = 2397, completed file 3841
t = 2449, completed file 7785
t = 2552, completed file 14533
t = 2659, completed file 7901
t = 2667, completed file 15463
t = 2732, completed file 3838
t = 2832, completed file 1935
t = 2836, completed file 15845
t = 2924, completed file 15832
t = 3038, completed file 7734
t = 3108, completed file 3754
t = 3124, completed file 51
t = 3226, completed file 7496
t = 3324, completed file 7059
t = 3429, completed file 15021
t = 3466, completed file 2051
t = 3566, completed file 15875
t = 3689, completed file 14926
t = 3707, completed file 15003
t = 3777, completed file 15109
t = 3820, completed file 15640
t = 3941, completed file 15718
t = 4014, completed file 14452
t = 4028, completed file 329
t = 4060, completed file 3867
t = 4092, completed file 7278
t = 4132, completed file 14988
t = 4169, completed file 3801
t = 4285, completed file 503
t = 4299, completed file 1700
t = 4410, completed file 14075
t = 4522, completed file 14547
t = 4623, completed file 14917
t = 4715, completed file 7545
t = 4827, completed file 7527
t = 4895, completed file 15384
t = 4984, completed file 15214
t = 5030, completed file 1846
t = 5106, completed file 3594
t = 5204, completed file 15684
t = 5313, completed file 251
t = 5383, completed file 3675
t = 5484, completed file 14876
t = 5550, completed file 13597
t = 5556, completed file 1802
t = 5659, completed file 14507
t = 5755, completed file 8079
t = 5797, completed file 14918
t = 5871, completed file 14557
t = 5879, completed file 3484
t = 5973, completed file 3486
t = 6035, completed file 8091
t = 6080, completed file 15386
t = 6128, completed file 1026
t = 6138, completed file 14498
t = 6147, completed file 7211
t = 6251, completed file 115
t = 6259, completed file 11
t = 6311, completed file 14902
t = 6362, completed file 14585
t = 6427, completed file 15505
t = 6541, completed file 6682
t = 6603, completed file 12986
t = 6620, completed file 6992
t = 6679, completed file 7301
t = 6752, completed file 15275
t = 6866, completed file 15445
t = 6888, completed file 7443
t = 6897, completed file 3609
t = 6903, completed file 14485
t = 6971, completed file 13899
t = 7007, completed file 3549
