t = 10, completed file 19
t = 11, completed file 225
t = 12, completed file 155
t = 14, completed file 463
t = 15, completed file 565
t = 17, completed file 206
t = 19, completed file 202
t = 20, completed file 878
t = 30, completed file 105
t = 31, completed file 1481
t = 32, completed file 1612
t = 33, completed file 1655
t = 34, completed file 1012
t = 35, completed file 1790
t = 46, completed file 1066
t = 47, completed file 2448
t = 48, completed file 2564
t = 65, completed file 862
t = 66, completed file 3622
t = 67, completed file 3428
t = 68, completed file 3282
t = 69, completed file 3829
t = 157, completed file 121
t = 158, completed file 7056
t = 159, completed file 6990
t = 160, completed file 3904
t = 224, completed file 3902
t = 284, completed file 7351
t = 406, completed file 7352
t = 491, completed file 7119
t = 494, completed file 168
t = 588, completed file 913
t = 674, completed file 6930
t = 783, completed file 506
t = 801, completed file 7243
t = 892, completed file 909
t = 964, completed file 7305
t = 987, completed file 7233
t = 1108, completed file 14
t = 1127, completed file 3936
t = 1226, completed file 3757
t = 1261, completed file 7325
t = 1364, completed file 4041
t = 1415, completed file 7215
t = 1440, completed file 3652
t = 1539, completed file 3579
t = 1614, completed file 3552
t = 1698, completed file 3816
t = 1803, completed file 6957
t = 1903, completed file 7229
t = 1982, completed file 7181
t = 2001, completed file 3953
t = 2007, completed file 1738
t = 2083, completed file 3538
t = 2180, completed file 924
t = 2244, completed file 7147
t = 2262, completed file 1704
t = 2322, completed file 971
t = 2393, completed file 6991
t = 2452, completed file 3502
t = 2465, completed file 3031
t = 2550, completed file 6061
t = 2655, completed file 902
t = 2773, completed file 7101
t = 2890, completed file 3303
t = 2993, completed file 7285
t = 3058, completed file 7130
t = 3095, completed file 6969
t = 3116, completed file 6741
t = 3148, completed file 2031
t = 3199, completed file 6740
t = 3310, completed file 5696
t = 3405, completed file 6810
t = 3487, completed file 6980
t = 3502, completed file 6895
t = 3597, completed file 2009
t = 3644, completed file 3370
t = 3702, completed file 1591
t = 3794, completed file 6961
t = 3840, completed file 6589
t = 3852, completed file 899
t = 3964, completed file 1917
t = 3980, completed file 6704
t = 4101, completed file 3171
t = 4159, completed file 4011
t = 4284, completed file 6893
t = 4322, completed file 6232
t = 4441, completed file 3740
t = 4466, completed file 5391
t = 4524, completed file 3402
t = 4583, completed file 6245
t = 4608, completed file 3642
t = 4632, completed file 6
t = 4739, completed file 1008
t = 4748, completed file 724
t = 4791, completed file 773
t = 4894, completed file 6063
t = 4951, completed file 7342
t = 4983, completed file 4007
t = 5057, completed file 6645
t = 5064, completed file 3530
t = 5138, completed file 887
t = 5210, completed file 6597
t = 5266, completed file 3837
t = 5355, completed file 6233
t = 5385, completed file 1887
t = 5389, completed file 3247
t = 5395, completed file 6525
t = 5444, completed file 1032
t = 5564, completed file 7261
t = 5626, completed file 7344
t = 5663, completed file 1800
t = 5696, completed file 3018
t = 5730, completed file 5246
t = 5836, completed file 6309
t = 5959, completed file 5726
t = 6080, completed file 7196
t = 6102, completed file 568
t = 6126, completed file 3833
t = 6222, completed file 1569
t = 6272, completed file 6473
t = 6290, completed file 818
t = 6371, completed file 3793
t = 6396, completed file 6038
t = 6401, completed file 2925
t = 6424, completed file 2933
t = 6475, completed file 5960
t = 6532, completed file 3868
t = 6628, completed file 6046
t = 6721, completed file 6866
t = 6769, completed file 6074
t = 6827, completed file 1941
t = 6846, completed file 3277
t = 6967, completed file 118
t = 6992, completed file 1964
t = 7086, completed file 1651
t = 7149, completed file 1729
t = 7209, completed file 3325
t = 7284, completed file 5962
t = 7379, completed file 5881
t = 7477, completed file 5777
t = 7516, completed file 2814
t = 7624, completed file 1763
t = 7674, completed file 1925
t = 7745, completed file 3158
t = 7827, completed file 6585
t = 7908, completed file 468
t = 8026, completed file 3942
t = 8029, completed file 1412
t = 8062, completed file 2893
t = 8065, completed file 5422
t = 8115, completed file 5410
t = 8185, completed file 20
t = 8213, completed file 5394
t = 8332, completed file 6982
t = 8377, completed file 3243
t = 8430, completed file 5398
t = 8528, completed file 5243
t = 8624, completed file 3962
t = 8627, completed file 5412
t = 8657, completed file 2686
t = 8668, completed file 2685
t = 8716, completed file 5372
t = 8764, completed file 7020
t = 8841, completed file 789
t = 8919, completed file 5383
t = 9039, completed file 6818
t = 9122, completed file 3488
t = 9172, completed file 3795
t = 9266, completed file 6683
t = 9316, completed file 1461
t = 9319, completed file 3830
t = 9388, completed file 1914
t = 9466, completed file 407
t = 9556, completed file 5145
t = 9614, completed file 2807
t = 9620, completed file 2845
t = 9657, completed file 5691
t = 9692, completed file 431
t = 9759, completed file 3420
t = 9873, completed file 3491
t = 9946, completed file 4783
t = 10059, completed file 3479
t = 10108, completed file 3698
t = 10174, completed file 6761
t = 10273, completed file 3160
t = 10291, completed file 5441
t = 10304, completed file 663
t = 10324, completed file 649
t = 10423, completed file 2700
t = 10429, completed file 197
t = 10499, completed file 881
t = 10587, completed file 784
t = 10625, completed file 5767
t = 10626, completed file 4080
t = 10748, completed file 4369
t = 10774, completed file 6612
t = 10846, completed file 1833
t = 10970, completed file 1366
t = 11022, completed file 750
t = 11039, completed file 889
t = 11109, completed file 2687
t = 11148, completed file 3430
t = 11197, completed file 1162
t = 11297, completed file 7186
t = 11339, completed file 222
t = 11458, completed file 2100
t = 11538, completed file 12
t = 11545, completed file 3153
t = 11630, completed file 6302
t = 11752, completed file 6128
t = 11869, completed file 7050
t = 11903, completed file 4739
t = 11969, completed file 2789
t = 12056, completed file 2599
t = 12169, completed file 6821
t = 12246, completed file 1870
t = 12288, completed file 6451
t = 12388, completed file 6816
t = 12490, completed file 3042
t = 12557, completed file 654
t = 12617, completed file 785
t = 12673, completed file 2904
t = 12740, completed file 6848
t = 12841, completed file 3970
t = 12843, completed file 492
t = 12883, completed file 6356
t = 12931, completed file 2586
t = 13033, completed file 7272
t = 13081, completed file 4507
t = 13087, completed file 7191
t = 13201, completed file 3062
t = 13223, completed file 3361
t = 13292, completed file 2305
t = 13345, completed file 1417
t = 13382, completed file 647
t = 13384, completed file 1468
t = 13431, completed file 6115
t = 13450, completed file 5055
t = 13556, completed file 1926
t = 13560, completed file 2929
t = 13601, completed file 5856
t = 13665, completed file 1770
t = 13680, completed file 5508
t = 13740, completed file 265
t = 13746, completed file 1816
t = 13870, completed file 1860
t = 13961, completed file 186
t = 14079, completed file 5428
t = 14133, completed file 5981
t = 14160, completed file 5046
t = 14210, completed file 6430
t = 14298, completed file 1487
t = 14344, completed file 7332
t = 14453, completed file 6014
t = 14494, completed file 6490
t = 14585, completed file 1460
t = 14669, completed file 774
t = 14688, completed file 3268
t = 14809, completed file 5153
t = 14936, completed file 5448
t = 14983, completed file 4447
t = 15097, completed file 4494
t = 15192, completed file 6099
t = 15303, completed file 3426
t = 15415, completed file 2384
t = 15466, completed file 3893
t = 15592, completed file 4105
t = 15632, completed file 1372
t = 15731, completed file 5472
t = 15810, completed file 5832
t = 15831, completed file 7096
t = 15901, completed file 6606
t = 15954, completed file 4483
t = 16051, completed file 2141
t = 16080, completed file 5987
t = 16103, completed file 7144
t = 16185, completed file 4733
t = 16277, completed file 4088
t = 16380, completed file 892
t = 16401, completed file 7042
t = 16476, completed file 1782
t = 16512, completed file 997
t = 16522, completed file 4018
t = 16625, completed file 6657
t = 16632, completed file 3478
t = 16704, completed file 2003
t = 16791, completed file 5364
t = 16881, completed file 639
t = 17006, completed file 2800
t = 17068, completed file 198
t = 17143, completed file 742
t = 17206, completed file 807
t = 17240, completed file 5905
t = 17282, completed file 5380
t = 17320, completed file 6135
t = 17364, completed file 2512
t = 17372, completed file 429
t = 17419, completed file 3755
t = 17508, completed file 215
t = 17588, completed file 3623
t = 17654, completed file 3100
t = 17660, completed file 6510
t = 17708, completed file 796
t = 17828, completed file 3842
t = 17831, completed file 1360
t = 17861, completed file 4376
t = 17982, completed file 3669
t = 18064, completed file 5658
t = 18087, completed file 6355
t = 18096, completed file 4876
t = 18123, completed file 541
t = 18249, completed file 6782
t = 18290, completed file 6959
t = 18382, completed file 3914
t = 18490, completed file 6600
t = 18597, completed file 2683
t = 18639, completed file 558
t = 18729, completed file 4855
t = 18849, completed file 6918
t = 18861, completed file 2435
t = 18935, completed file 2505
t = 18949, completed file 2321
t = 19020, completed file 595
t = 19058, completed file 408
t = 19110, completed file 5756
t = 19184, completed file 661
t = 19275, completed file 4944
t = 19313, completed file 4176
t = 19348, completed file 4052
t = 19410, completed file 4557
t = 19509, completed file 5564
t = 19591, completed file 3307
t = 19702, completed file 3509
t = 19768, completed file 4645
t = 19858, completed file 6748
t = 19936, completed file 4411
t = 19971, completed file 83
t = 20074, completed file 5285
t = 20110, completed file 5644
t = 20195, completed file 1381
t = 20295, completed file 405
t = 20380, completed file 2249
t = 20447, completed file 1915
t = 20569, completed file 1270
t = 20635, completed file 4387
t = 20702, completed file 569
t = 20784, completed file 6877
t = 20867, completed file 312
t = 20931, completed file 4559
t = 20983, completed file 1430
t = 20991, completed file 7132
t = 21104, completed file 224
t = 21123, completed file 3860
t = 21214, completed file 5902
t = 21226, completed file 747
t = 21312, completed file 3851
t = 21423, completed file 1682
t = 21501, completed file 1232
t = 21608, completed file 3933
t = 21688, completed file 2255
t = 21812, completed file 5219
t = 21880, completed file 515
t = 21931, completed file 7337
t = 22001, completed file 783
t = 22043, completed file 3784
t = 22103, completed file 5594
t = 22135, completed file 6492
t = 22150, completed file 3427
t = 22217, completed file 6518
t = 22278, completed file 4794
t = 22398, completed file 3889
t = 22448, completed file 4815
t = 22492, completed file 7158
t = 22607, completed file 3214
t = 22696, completed file 772
t = 22816, completed file 6985
t = 22840, completed file 6837
t = 22856, completed file 3212
t = 22875, completed file 1938
t = 22912, completed file 6558
t = 22943, completed file 1004
t = 23024, completed file 289
t = 23151, completed file 7292
t = 23171, completed file 6609
t = 23258, completed file 4663
t = 23280, completed file 1063
t = 23336, completed file 4922
t = 23418, completed file 5382
t = 23508, completed file 1051
t = 23612, completed file 7103
t = 23690, completed file 1769
t = 23771, completed file 3034
t = 23780, completed file 1405
t = 23783, completed file 5721
t = 23902, completed file 2275
t = 23940, completed file 5939
t = 23958, completed file 7223
t = 24012, completed file 7249
t = 24053, completed file 2863
t = 24094, completed file 7176
t = 24203, completed file 4173
t = 24307, completed file 3394
t = 24403, completed file 2154
t = 24503, completed file 4899
t = 24573, completed file 872
t = 24684, completed file 7300
t = 24708, completed file 5677
t = 24813, completed file 6554
t = 24926, completed file 2054
t = 25014, completed file 2411
t = 25039, completed file 316
t = 25043, completed file 7255
t = 25060, completed file 2583
t = 25186, completed file 3364
t = 25256, completed file 5778
t = 25285, completed file 3631
t = 25396, completed file 6318
t = 25520, completed file 4824
t = 25529, completed file 1392
t = 25616, completed file 5233
t = 25663, completed file 5019
t = 25768, completed file 1031
t = 25779, completed file 4472
t = 25893, completed file 1111
t = 25993, completed file 7163
t = 26092, completed file 3269
t = 26157, completed file 6093
t = 26167, completed file 1689
t = 26214, completed file 6807
t = 26330, completed file 5120
t = 26383, completed file 6251
t = 26446, completed file 3125
t = 26450, completed file 3033
t = 26488, completed file 1649
t = 26520, completed file 6669
t = 26558, completed file 3369
t = 26611, completed file 671
t = 26682, completed file 681
t = 26688, completed file 6725
t = 26761, completed file 104
t = 26780, completed file 2974
t = 26790, completed file 6765
t = 26806, completed file 3311
t = 26854, completed file 3671
t = 26888, completed file 388
t = 26965, completed file 2992
t = 26970, completed file 2172
t = 26993, completed file 2532
t = 27095, completed file 2516
t = 27105, completed file 3894
t = 27206, completed file 886
t = 27274, completed file 3881
t = 27329, completed file 1650
t = 27350, completed file 5432
t = 27400, completed file 3296
t = 27460, completed file 1884
t = 27524, completed file 5690
t = 27594, completed file 1362
t = 27715, completed file 3435
t = 27784, completed file 589
t = 27795, completed file 715
t = 27906, completed file 1273
t = 27919, completed file 6643
t = 27951, completed file 679
t = 27963, completed file 2078
t = 28075, completed file 127
t = 28134, completed file 3449
t = 28253, completed file 6354
t = 28296, completed file 6209
t = 28365, completed file 1575
t = 28405, completed file 3772
t = 28511, completed file 6219
t = 28572, completed file 4347
t = 28641, completed file 2709
t = 28661, completed file 1076
t = 28667, completed file 1042
t = 28733, completed file 5826
t = 28802, completed file 494
t = 28845, completed file 3586
t = 28952, completed file 6804
t = 28967, completed file 481
t = 28976, completed file 2856
t = 29010, completed file 6997
t = 29021, completed file 710
t = 29054, completed file 5748
t = 29159, completed file 5584
t = 29230, completed file 7161
t = 29353, completed file 7171
t = 29397, completed file 2746
t = 29399, completed file 3752
t = 29510, completed file 938
t = 29513, completed file 6127
t = 29522, completed file 3063
t = 29626, completed file 5261
t = 29638, completed file 6706
t = 29757, completed file 3486
t = 29829, completed file 3822
t = 29905, completed file 3504
t = 30014, completed file 797
t = 30049, completed file 4069
t = 30055, completed file 5133
t = 30090, completed file 6470
t = 30195, completed file 6091
t = 30228, completed file 6943
t = 30241, completed file 2021
t = 30248, completed file 4098
t = 30279, completed file 6125
t = 30314, completed file 6340
t = 30360, completed file 791
t = 30470, completed file 5718
t = 30476, completed file 5360
t = 30494, completed file 2665
t = 30513, completed file 2941
t = 30616, completed file 597
t = 30711, completed file 5176
t = 30811, completed file 984
t = 30826, completed file 3632
t = 30878, completed file 2285
t = 30983, completed file 3883
t = 31085, completed file 2517
t = 31153, completed file 5132
t = 31182, completed file 5559
t = 31206, completed file 2769
t = 31278, completed file 1040
t = 31328, completed file 371
t = 31344, completed file 2535
t = 31381, completed file 6140
t = 31397, completed file 4112
t = 31420, completed file 6041
t = 31541, completed file 7108
t = 31561, completed file 6183
t = 31588, completed file 5511
t = 31625, completed file 2119
t = 31641, completed file 3629
t = 31717, completed file 1133
t = 31812, completed file 5790
t = 31883, completed file 6277
t = 31889, completed file 2678
t = 31952, completed file 2584
t = 32079, completed file 3023
t = 32202, completed file 4774
t = 32286, completed file 2604
t = 32337, completed file 3115
t = 32408, completed file 1902
t = 32519, completed file 3495
t = 32634, completed file 6370
t = 32718, completed file 4293
t = 32791, completed file 2518
t = 32883, completed file 5328
t = 32994, completed file 7183
t = 33038, completed file 5788
t = 33056, completed file 3835
t = 33084, completed file 4638
t = 33155, completed file 1237
t = 33232, completed file 2237
t = 33246, completed file 4374
t = 33324, completed file 4396
t = 33451, completed file 6180
t = 33455, completed file 4561
t = 33498, completed file 3411
t = 33585, completed file 3355
t = 33588, completed file 7164
t = 33681, completed file 7148
t = 33713, completed file 6603
t = 33734, completed file 3503
t = 33799, completed file 5239
t = 33803, completed file 3543
t = 33845, completed file 7134
t = 33856, completed file 949
t = 33916, completed file 4024
t = 34025, completed file 2880
t = 34034, completed file 6331
t = 34127, completed file 398
t = 34222, completed file 443
t = 34246, completed file 6599
t = 34262, completed file 3945
t = 34317, completed file 2188
t = 34339, completed file 5936
t = 34353, completed file 2951
t = 34387, completed file 5904
t = 34489, completed file 5026
t = 34505, completed file 3783
t = 34620, completed file 2192
t = 34676, completed file 1020
t = 34758, completed file 3241
t = 34779, completed file 840
t = 34840, completed file 5619
t = 34966, completed file 490
t = 35069, completed file 1909
t = 35192, completed file 1161
t = 35232, completed file 4239
t = 35254, completed file 3778
t = 35372, completed file 1501
t = 35457, completed file 4485
t = 35477, completed file 1775
t = 35482, completed file 2159
t = 35517, completed file 4336
t = 35554, completed file 7019
t = 35557, completed file 2879
t = 35607, completed file 5758
t = 35689, completed file 2854
t = 35708, completed file 2455
t = 35822, completed file 6047
t = 35921, completed file 3695
t = 35967, completed file 3938
t = 36091, completed file 134
t = 36105, completed file 1371
t = 36139, completed file 5529
t = 36252, completed file 3606
t = 36327, completed file 2613
t = 36406, completed file 6368
t = 36431, completed file 5560
t = 36525, completed file 4294
t = 36597, completed file 4229
t = 36634, completed file 3576
t = 36725, completed file 7231
t = 36749, completed file 2014
t = 36782, completed file 3288
t = 36832, completed file 452
t = 36954, completed file 5304
t = 37036, completed file 3900
t = 37086, completed file 3300
t = 37189, completed file 812
t = 37291, completed file 2173
t = 37333, completed file 7301
t = 37446, completed file 2966
t = 37500, completed file 1531
t = 37584, completed file 6596
t = 37666, completed file 2413
t = 37699, completed file 3950
t = 37714, completed file 4882
t = 37810, completed file 5532
t = 37894, completed file 745
t = 37952, completed file 3529
t = 38057, completed file 4883
t = 38062, completed file 1910
t = 38097, completed file 4996
t = 38151, completed file 3263
t = 38271, completed file 6018
t = 38398, completed file 5210
t = 38415, completed file 2278
t = 38481, completed file 1605
t = 38496, completed file 4510
t = 38561, completed file 1710
t = 38653, completed file 142
t = 38700, completed file 6085
t = 38756, completed file 976
t = 38769, completed file 4420
t = 38788, completed file 2144
t = 38818, completed file 421
t = 38883, completed file 1127
t = 38983, completed file 1957
t = 39019, completed file 3255
