t = 15, completed file 1
t = 16, completed file 329
t = 17, completed file 710
t = 18, completed file 780
t = 29, completed file 118
t = 30, completed file 1368
t = 31, completed file 1527
t = 32, completed file 1613
t = 56, completed file 343
t = 57, completed file 3108
t = 58, completed file 3179
t = 59, completed file 3175
t = 148, completed file 62
t = 149, completed file 8584
t = 150, completed file 8007
t = 151, completed file 7981
t = 152, completed file 7672
t = 153, completed file 8867
t = 154, completed file 3327
t = 257, completed file 2050
t = 258, completed file 14960
t = 259, completed file 14894
t = 260, completed file 14809
t = 339, completed file 4106
t = 340, completed file 19733
t = 341, completed file 16328
t = 342, completed file 20209
t = 343, completed file 16255
t = 344, completed file 16242
t = 345, completed file 20366
t = 346, completed file 15663
t = 347, completed file 15611
t = 464, completed file 4098
t = 465, completed file 27488
t = 466, completed file 27650
t = 467, completed file 27707
t = 468, completed file 27429
t = 469, completed file 27800
t = 567, completed file 16403
t = 568, completed file 33640
t = 569, completed file 32551
t = 570, completed file 33887
t = 571, completed file 33930
t = 572, completed file 31618
t = 573, completed file 31457
t = 574, completed file 31358
t = 611, completed file 8136
t = 612, completed file 36222
t = 613, completed file 36459
t = 638, completed file 32797
t = 639, completed file 37737
t = 640, completed file 38093
t = 722, completed file 32802
t = 723, completed file 39720
t = 827, completed file 36543
t = 929, completed file 39883
t = 1038, completed file 9943
t = 1059, completed file 39792
t = 1083, completed file 39838
t = 1093, completed file 39767
t = 1117, completed file 2446
t = 1176, completed file 39573
t = 1207, completed file 38793
t = 1312, completed file 39754
t = 1382, completed file 39678
t = 1456, completed file 19747
t = 1525, completed file 19937
t = 1581, completed file 39477
t = 1597, completed file 39742
t = 1665, completed file 19408
t = 1777, completed file 9827
t = 1848, completed file 9954
t = 1926, completed file 19783
t = 1947, completed file 39748
t = 2015, completed file 4890
t = 2016, completed file 17868
t = 2115, completed file 39542
t = 2180, completed file 19222
t = 2289, completed file 19492
t = 2391, completed file 1204
t = 2448, completed file 39172
t = 2544, completed file 20401
t = 2652, completed file 1183
t = 2691, completed file 8141
t = 2698, completed file 4863
t = 2734, completed file 39223
t = 2821, completed file 9929
t = 2947, completed file 39121
t = 3055, completed file 2386
t = 3110, completed file 19383
t = 3202, completed file 9810
t = 3325, completed file 39208
t = 3440, completed file 39202
t = 3506, completed file 20001
t = 3616, completed file 17928
t = 3682, completed file 19100
t = 3806, completed file 39086
t = 3931, completed file 39745
t = 4047, completed file 38502
t = 4073, completed file 38799
t = 4083, completed file 38849
t = 4135, completed file 19333
t = 4206, completed file 39334
t = 4309, completed file 19463
t = 4317, completed file 39050
t = 4441, completed file 39247
t = 4488, completed file 39487
t = 4492, completed file 10126
t = 4524, completed file 20253
t = 4580, completed file 17846
t = 4638, completed file 1229
t = 4729, completed file 38708
t = 4794, completed file 38047
t = 4810, completed file 9462
t = 4862, completed file 9592
t = 4915, completed file 571
t = 4970, completed file 38888
t = 5067, completed file 4994
t = 5173, completed file 39299
t = 5194, completed file 38109
t = 5311, completed file 2358
t = 5325, completed file 36357
t = 5399, completed file 19019
t = 5501, completed file 19163
t = 5510, completed file 9569
t = 5522, completed file 19526
t = 5570, completed file 38385
t = 5587, completed file 36652
t = 5629, completed file 39308
t = 5723, completed file 38408
t = 5793, completed file 37670
t = 5913, completed file 39239
t = 5986, completed file 19374
t = 6057, completed file 38771
t = 6079, completed file 38691
t = 6091, completed file 19379
t = 6200, completed file 38900
t = 6206, completed file 36762
t = 6267, completed file 4508
t = 6349, completed file 31307
t = 6428, completed file 38546
t = 6489, completed file 37908
t = 6589, completed file 38455
t = 6631, completed file 38661
t = 6684, completed file 37401
t = 6780, completed file 37390
t = 6880, completed file 36839
t = 6933, completed file 2485
t = 6962, completed file 18941
t = 6967, completed file 19029
t = 7077, completed file 38208
t = 7140, completed file 20135
t = 7169, completed file 38855
t = 7214, completed file 18507
t = 7252, completed file 19181
t = 7296, completed file 9533
t = 7383, completed file 37233
t = 7410, completed file 10174
t = 7499, completed file 9179
t = 7553, completed file 39023
t = 7579, completed file 18967
t = 7690, completed file 36503
t = 7740, completed file 9445
t = 7749, completed file 38061
t = 7763, completed file 4718
t = 7886, completed file 36928
t = 7937, completed file 19823
t = 8057, completed file 4423
t = 8072, completed file 8551
t = 8152, completed file 18500
t = 8217, completed file 2357
t = 8234, completed file 19137
t = 8258, completed file 18152
t = 8262, completed file 9059
t = 8295, completed file 2241
t = 8298, completed file 33848
t = 8392, completed file 17116
t = 8472, completed file 18677
t = 8591, completed file 18682
t = 8628, completed file 37094
t = 8741, completed file 18307
t = 8811, completed file 39656
t = 8879, completed file 4338
t = 8972, completed file 9041
t = 9013, completed file 18505
t = 9114, completed file 37333
t = 9196, completed file 2313
t = 9259, completed file 18900
t = 9310, completed file 38983
t = 9329, completed file 38074
t = 9358, completed file 4748
t = 9485, completed file 38078
t = 9513, completed file 37932
t = 9618, completed file 37113
t = 9662, completed file 38604
t = 9759, completed file 19255
t = 9871, completed file 4471
t = 9948, completed file 34856
t = 9967, completed file 9661
t = 10074, completed file 9770
t = 10187, completed file 18036
t = 10301, completed file 35627
t = 10348, completed file 117
t = 10379, completed file 1061
t = 10396, completed file 33691
t = 10443, completed file 38122
t = 10559, completed file 8363
t = 10576, completed file 1216
t = 10578, completed file 33610
t = 10678, completed file 16792
t = 10709, completed file 36348
t = 10811, completed file 37141
t = 10841, completed file 2244
t = 10874, completed file 34024
t = 10926, completed file 8852
t = 10997, completed file 39343
t = 11109, completed file 36697
t = 11122, completed file 19260
t = 11178, completed file 38290
t = 11295, completed file 35601
t = 11304, completed file 9268
t = 11338, completed file 37253
t = 11354, completed file 37726
t = 11358, completed file 2223
t = 11482, completed file 35913
t = 11532, completed file 36045
t = 11655, completed file 9069
t = 11777, completed file 36805
t = 11780, completed file 38886
t = 11862, completed file 297
t = 11954, completed file 39823
t = 12013, completed file 18765
t = 12039, completed file 18610
t = 12074, completed file 4383
t = 12141, completed file 37613
t = 12209, completed file 35996
t = 12220, completed file 8877
t = 12236, completed file 35704
t = 12247, completed file 37525
t = 12364, completed file 18561
t = 12462, completed file 1205
t = 12474, completed file 9040
t = 12555, completed file 36475
t = 12605, completed file 19141
t = 12680, completed file 15511
t = 12691, completed file 39786
t = 12700, completed file 39452
t = 12735, completed file 9892
t = 12752, completed file 37648
t = 12842, completed file 37780
t = 12884, completed file 37753
t = 12941, completed file 34928
t = 13007, completed file 20446
t = 13077, completed file 37238
t = 13123, completed file 35895
t = 13213, completed file 35289
t = 13327, completed file 37570
t = 13397, completed file 38811
t = 13504, completed file 35342
t = 13585, completed file 9219
t = 13601, completed file 16517
t = 13713, completed file 33797
t = 13787, completed file 11389
t = 13794, completed file 18128
t = 13913, completed file 36360
t = 14001, completed file 36070
t = 14046, completed file 16153
t = 14100, completed file 588
t = 14120, completed file 37654
t = 14203, completed file 34653
t = 14286, completed file 4509
t = 14291, completed file 17251
t = 14306, completed file 34580
t = 14414, completed file 36123
t = 14533, completed file 38403
t = 14551, completed file 17339
t = 14619, completed file 23585
t = 14706, completed file 1403
t = 14773, completed file 31417
t = 14848, completed file 9333
t = 14909, completed file 18592
t = 14957, completed file 17641
t = 15015, completed file 4308
t = 15074, completed file 8705
t = 15084, completed file 23323
t = 15099, completed file 36633
t = 15208, completed file 37435
t = 15292, completed file 34817
t = 15331, completed file 19150
t = 15447, completed file 18839
t = 15557, completed file 19649
t = 15681, completed file 8543
t = 15791, completed file 36785
t = 15840, completed file 19480
t = 15907, completed file 17785
t = 15940, completed file 8369
t = 15953, completed file 2157
t = 16072, completed file 34790
t = 16183, completed file 8617
t = 16269, completed file 18719
t = 16366, completed file 37905
t = 16412, completed file 4619
t = 16520, completed file 15260
t = 16590, completed file 16827
t = 16618, completed file 34623
t = 16733, completed file 38033
t = 16738, completed file 19174
t = 16794, completed file 17479
t = 16814, completed file 19965
t = 16859, completed file 37777
t = 16949, completed file 22134
t = 16970, completed file 19065
t = 17095, completed file 14904
t = 17135, completed file 17302
t = 17252, completed file 33502
t = 17267, completed file 17862
t = 17352, completed file 19568
t = 17403, completed file 7562
t = 17498, completed file 34393
t = 17596, completed file 16962
t = 17612, completed file 8981
t = 17619, completed file 20456
t = 17620, completed file 38840
t = 17691, completed file 1043
t = 17723, completed file 9613
t = 17825, completed file 10900
t = 17923, completed file 7772
t = 17944, completed file 36268
t = 17989, completed file 17670
t = 18087, completed file 39756
t = 18213, completed file 38013
t = 18293, completed file 33106
t = 18299, completed file 1171
t = 18389, completed file 9668
t = 18454, completed file 32813
t = 18486, completed file 8839
t = 18504, completed file 8228
t = 18517, completed file 33066
t = 18625, completed file 33093
t = 18631, completed file 16958
t = 18678, completed file 33995
t = 18785, completed file 30993
t = 18882, completed file 39590
t = 18944, completed file 29156
t = 18953, completed file 10979
t = 18995, completed file 21992
t = 19058, completed file 35071
t = 19063, completed file 34560
t = 19170, completed file 34573
t = 19252, completed file 20040
t = 19355, completed file 34539
t = 19376, completed file 37989
t = 19444, completed file 4475
t = 19503, completed file 39626
t = 19599, completed file 18481
t = 19637, completed file 17290
t = 19684, completed file 1499
t = 19701, completed file 16653
t = 19795, completed file 36142
t = 19905, completed file 22677
t = 19945, completed file 16611
t = 19954, completed file 23762
t = 20060, completed file 32242
t = 20161, completed file 32128
t = 20167, completed file 8781
t = 20278, completed file 8708
t = 20313, completed file 36303
t = 20316, completed file 18400
t = 20328, completed file 9227
t = 20355, completed file 36929
t = 20404, completed file 18632
t = 20414, completed file 17278
t = 20435, completed file 4326
t = 20536, completed file 8808
t = 20655, completed file 9207
t = 20780, completed file 37434
t = 20798, completed file 18932
t = 20839, completed file 22722
t = 20902, completed file 23194
t = 21017, completed file 15200
t = 21071, completed file 38678
t = 21186, completed file 8810
t = 21281, completed file 21177
t = 21295, completed file 34107
t = 21360, completed file 34126
t = 21372, completed file 9364
t = 21443, completed file 37844
t = 21538, completed file 9311
t = 21658, completed file 16709
t = 21688, completed file 16831
t = 21800, completed file 37350
t = 21892, completed file 34859
t = 22010, completed file 39035
t = 22044, completed file 37132
t = 22098, completed file 18004
t = 22139, completed file 556
t = 22266, completed file 2918
t = 22339, completed file 20943
t = 22459, completed file 33067
t = 22513, completed file 14799
t = 22557, completed file 38542
t = 22592, completed file 33263
t = 22705, completed file 18087
t = 22782, completed file 23584
t = 22814, completed file 4670
t = 22874, completed file 35661
t = 22877, completed file 9152
t = 22929, completed file 3712
t = 23046, completed file 19763
t = 23048, completed file 30400
t = 23157, completed file 15155
t = 23275, completed file 4809
t = 23399, completed file 22660
t = 23513, completed file 12249
t = 23574, completed file 9349
t = 23600, completed file 17438
t = 23699, completed file 39268
t = 23759, completed file 35973
t = 23784, completed file 37655
t = 23832, completed file 16889
t = 23946, completed file 45
t = 24018, completed file 15643
t = 24125, completed file 31326
t = 24132, completed file 36402
t = 24163, completed file 35710
t = 24214, completed file 17446
t = 24229, completed file 4296
t = 24266, completed file 33285
t = 24269, completed file 17971
t = 24302, completed file 17968
t = 24379, completed file 9401
t = 24462, completed file 20329
t = 24541, completed file 36138
t = 24585, completed file 18594
t = 24675, completed file 38895
t = 24748, completed file 27119
t = 24783, completed file 37797
t = 24850, completed file 31137
t = 24936, completed file 19301
t = 25012, completed file 22494
t = 25021, completed file 23997
t = 25094, completed file 11954
t = 25097, completed file 19164
t = 25176, completed file 37976
t = 25251, completed file 23849
t = 25319, completed file 38345
t = 25321, completed file 38819
t = 25387, completed file 38431
