t = 9, completed file 42
t = 10, completed file 119
t = 12, completed file 310
t = 13, completed file 444
t = 15, completed file 113
t = 16, completed file 550
t = 18, completed file 650
t = 19, completed file 827
t = 20, completed file 755
t = 21, completed file 943
t = 22, completed file 987
t = 23, completed file 915
t = 39, completed file 16
t = 86, completed file 67
t = 125, completed file 1240
t = 194, completed file 1239
t = 293, completed file 600
t = 390, completed file 1174
t = 394, completed file 110
t = 424, completed file 1198
t = 491, completed file 308
t = 546, completed file 1154
t = 582, completed file 66
t = 627, completed file 1083
t = 694, completed file 1098
t = 713, completed file 478
t = 777, completed file 1100
t = 886, completed file 1005
t = 894, completed file 1079
t = 991, completed file 71
t = 1037, completed file 606
t = 1040, completed file 1127
t = 1141, completed file 258
t = 1215, completed file 522
t = 1229, completed file 1212
t = 1241, completed file 570
t = 1265, completed file 425
t = 1333, completed file 360
t = 1385, completed file 264
t = 1422, completed file 710
t = 1510, completed file 1108
t = 1553, completed file 492
t = 1651, completed file 1118
t = 1765, completed file 998
t = 1890, completed file 507
t = 1941, completed file 617
t = 1975, completed file 78
t = 2067, completed file 1166
t = 2163, completed file 1236
t = 2245, completed file 636
t = 2277, completed file 689
t = 2332, completed file 130
t = 2407, completed file 133
t = 2511, completed file 483
t = 2634, completed file 886
t = 2715, completed file 725
t = 2738, completed file 1015
t = 2776, completed file 1141
t = 2884, completed file 283
t = 2910, completed file 812
t = 2979, completed file 603
t = 3026, completed file 169
t = 3076, completed file 434
t = 3169, completed file 459
t = 3245, completed file 474
t = 3353, completed file 95
t = 3385, completed file 575
t = 3419, completed file 709
t = 3508, completed file 621
t = 3590, completed file 628
t = 3693, completed file 1191
t = 3752, completed file 145
t = 3871, completed file 98
t = 3940, completed file 551
t = 4052, completed file 808
t = 4099, completed file 1010
t = 4112, completed file 373
t = 4222, completed file 323
t = 4262, completed file 1041
t = 4272, completed file 303
t = 4357, completed file 645
t = 4384, completed file 668
t = 4451, completed file 957
t = 4551, completed file 879
t = 4603, completed file 510
t = 4645, completed file 822
t = 4693, completed file 547
t = 4800, completed file 1016
t = 4850, completed file 220
t = 4877, completed file 997
t = 4899, completed file 602
t = 4921, completed file 57
t = 5044, completed file 631
t = 5122, completed file 447
t = 5152, completed file 268
t = 5247, completed file 820
t = 5344, completed file 609
t = 5423, completed file 715
t = 5526, completed file 543
t = 5598, completed file 535
t = 5692, completed file 596
t = 5715, completed file 479
t = 5718, completed file 1112
t = 5753, completed file 321
t = 5760, completed file 60
t = 5768, completed file 952
t = 5784, completed file 1147
t = 5907, completed file 499
t = 6010, completed file 1126
t = 6137, completed file 1029
t = 6208, completed file 314
t = 6312, completed file 554
t = 6423, completed file 254
t = 6531, completed file 1167
t = 6646, completed file 578
t = 6712, completed file 521
t = 6813, completed file 56
t = 6894, completed file 665
t = 6973, completed file 739
t = 7017, completed file 1088
t = 7042, completed file 41
t = 7119, completed file 365
t = 7233, completed file 913
t = 7316, completed file 129
t = 7331, completed file 690
t = 7392, completed file 291
t = 7405, completed file 462
t = 7491, completed file 922
t = 7531, completed file 540
t = 7589, completed file 876
t = 7619, completed file 1058
t = 7741, completed file 514
t = 7797, completed file 21
t = 7889, completed file 132
t = 7930, completed file 883
t = 7943, completed file 529
t = 8047, completed file 15
t = 8068, completed file 989
t = 8112, completed file 1133
t = 8156, completed file 1146
t = 8217, completed file 475
t = 8267, completed file 782
t = 8314, completed file 583
t = 8369, completed file 1059
t = 8482, completed file 1046
t = 8535, completed file 336
t = 8559, completed file 1203
t = 8679, completed file 527
t = 8788, completed file 835
t = 8879, completed file 624
t = 8990, completed file 718
t = 9094, completed file 699
t = 9153, completed file 1078
t = 9264, completed file 988
t = 9379, completed file 399
t = 9497, completed file 427
t = 9505, completed file 925
t = 9591, completed file 159
t = 9701, completed file 504
t = 9816, completed file 537
t = 9874, completed file 937
t = 9919, completed file 534
t = 9936, completed file 945
t = 9992, completed file 69
t = 10027, completed file 152
t = 10055, completed file 1222
t = 10155, completed file 387
t = 10260, completed file 226
t = 10369, completed file 280
t = 10422, completed file 151
t = 10443, completed file 1169
t = 10554, completed file 410
t = 10607, completed file 1238
t = 10641, completed file 760
t = 10711, completed file 12
t = 10781, completed file 30
t = 10903, completed file 692
t = 10939, completed file 236
t = 11041, completed file 166
t = 11165, completed file 17
t = 11185, completed file 1159
t = 11196, completed file 793
t = 11270, completed file 843
t = 11277, completed file 1109
t = 11310, completed file 1053
t = 11436, completed file 667
t = 11519, completed file 1227
t = 11551, completed file 150
t = 11559, completed file 1085
t = 11571, completed file 1022
t = 11673, completed file 7
t = 11714, completed file 810
t = 11816, completed file 664
t = 11895, completed file 763
t = 11970, completed file 946
t = 12037, completed file 357
t = 12082, completed file 484
t = 12146, completed file 654
t = 12239, completed file 809
t = 12282, completed file 195
t = 12369, completed file 491
t = 12398, completed file 604
t = 12440, completed file 262
t = 12447, completed file 426
t = 12518, completed file 927
t = 12634, completed file 97
t = 12658, completed file 348
t = 12784, completed file 418
t = 12804, completed file 1200
