t = 3, completed file 2
t = 7, completed file 3
t = 8, completed file 77
t = 11, completed file 163
t = 12, completed file 272
t = 14, completed file 344
t = 15, completed file 494
t = 17, completed file 651
t = 18, completed file 672
t = 25, completed file 21
t = 26, completed file 1246
t = 31, completed file 15
t = 32, completed file 1537
t = 64, completed file 273
t = 65, completed file 3572
t = 66, completed file 3191
t = 67, completed file 1711
t = 150, completed file 253
t = 151, completed file 8522
t = 152, completed file 7678
t = 153, completed file 8845
t = 154, completed file 7370
t = 155, completed file 8961
t = 257, completed file 936
t = 258, completed file 15143
t = 259, completed file 15226
t = 260, completed file 15099
t = 261, completed file 15361
t = 262, completed file 15094
t = 324, completed file 4111
t = 325, completed file 18996
t = 326, completed file 19263
t = 327, completed file 16091
t = 328, completed file 19329
t = 329, completed file 15974
t = 330, completed file 15924
t = 331, completed file 15839
t = 364, completed file 502
t = 365, completed file 21405
t = 366, completed file 21612
t = 463, completed file 15362
t = 464, completed file 27400
t = 465, completed file 27030
t = 530, completed file 19264
t = 531, completed file 31501
t = 532, completed file 31611
t = 533, completed file 31409
t = 534, completed file 31388
t = 535, completed file 31772
t = 536, completed file 31219
t = 576, completed file 16316
t = 577, completed file 34155
t = 578, completed file 32746
t = 579, completed file 32680
t = 580, completed file 32601
t = 581, completed file 32582
t = 582, completed file 32559
t = 583, completed file 34660
t = 584, completed file 34703
t = 585, completed file 32289
t = 681, completed file 8124
t = 682, completed file 39846
t = 716, completed file 32817
t = 758, completed file 39880
t = 870, completed file 39882
t = 910, completed file 39835
t = 986, completed file 9887
t = 1039, completed file 19883
t = 1065, completed file 39752
t = 1161, completed file 39677
t = 1236, completed file 39718
t = 1286, completed file 19762
t = 1305, completed file 9884
t = 1421, completed file 9831
t = 1528, completed file 39757
t = 1536, completed file 39681
t = 1551, completed file 19776
t = 1592, completed file 19122
t = 1696, completed file 39386
t = 1779, completed file 19655
t = 1784, completed file 39402
t = 1812, completed file 9750
t = 1927, completed file 39393
t = 2006, completed file 303
t = 2132, completed file 39470
t = 2158, completed file 39341
t = 2271, completed file 19839
t = 2288, completed file 19445
t = 2367, completed file 4772
t = 2406, completed file 39187
t = 2407, completed file 39293
t = 2431, completed file 4871
t = 2534, completed file 19630
t = 2583, completed file 20181
t = 2630, completed file 36388
t = 2725, completed file 39309
t = 2827, completed file 39311
t = 2916, completed file 39105
t = 2984, completed file 38699
t = 3102, completed file 9764
t = 3113, completed file 39036
t = 3202, completed file 19690
t = 3259, completed file 39556
t = 3303, completed file 39094
t = 3314, completed file 36681
t = 3423, completed file 19538
t = 3542, completed file 2448
t = 3573, completed file 19292
t = 3579, completed file 19786
t = 3695, completed file 39768
t = 3732, completed file 1154
t = 3812, completed file 9661
t = 3922, completed file 38636
t = 4012, completed file 19119
t = 4075, completed file 4861
t = 4078, completed file 19969
t = 4133, completed file 39620
t = 4205, completed file 39271
t = 4239, completed file 39222
t = 4285, completed file 9586
t = 4396, completed file 37556
t = 4476, completed file 18932
t = 4567, completed file 19207
t = 4583, completed file 39064
t = 4647, completed file 38849
t = 4692, completed file 39576
t = 4750, completed file 38468
t = 4845, completed file 9380
t = 4955, completed file 39464
t = 5006, completed file 38602
t = 5039, completed file 19124
t = 5060, completed file 9758
t = 5128, completed file 2415
t = 5185, completed file 39027
t = 5202, completed file 38449
t = 5213, completed file 38548
t = 5219, completed file 2374
t = 5331, completed file 37772
t = 5447, completed file 2358
t = 5492, completed file 7846
