t = 93, completed file 2
t = 94, completed file 5120
t = 95, completed file 5388
t = 96, completed file 3644
t = 97, completed file 5468
t = 98, completed file 1472
t = 99, completed file 3261
t = 100, completed file 1717
t = 101, completed file 3222
t = 102, completed file 5820
t = 103, completed file 163
t = 104, completed file 5929
t = 105, completed file 2809
t = 106, completed file 6062
t = 107, completed file 861
t = 108, completed file 6057
t = 109, completed file 6208
t = 147, completed file 385
t = 148, completed file 8576
t = 149, completed file 7949
t = 150, completed file 7942
t = 151, completed file 7878
t = 152, completed file 7655
t = 153, completed file 8870
t = 218, completed file 4088
t = 219, completed file 12739
t = 220, completed file 12853
t = 221, completed file 12561
t = 222, completed file 12966
t = 223, completed file 13070
t = 224, completed file 13099
t = 225, completed file 13046
t = 261, completed file 8947
t = 262, completed file 15090
t = 263, completed file 15033
t = 264, completed file 15524
t = 265, completed file 15513
t = 266, completed file 15663
t = 267, completed file 15716
t = 268, completed file 15738
t = 269, completed file 15821
t = 330, completed file 7851
t = 331, completed file 15914
t = 336, completed file 15901
t = 373, completed file 15897
t = 477, completed file 15930
t = 589, completed file 15932
t = 663, completed file 15896
t = 689, completed file 15746
t = 740, completed file 2013
t = 804, completed file 122
t = 914, completed file 15820
t = 926, completed file 15789
t = 1028, completed file 15805
t = 1120, completed file 15807
t = 1198, completed file 3933
t = 1216, completed file 7761
t = 1299, completed file 15894
t = 1397, completed file 7814
t = 1491, completed file 15731
t = 1580, completed file 15594
t = 1701, completed file 7832
t = 1734, completed file 7857
t = 1794, completed file 15260
t = 1846, completed file 7026
t = 1944, completed file 3828
t = 2024, completed file 15583
t = 2026, completed file 3696
t = 2091, completed file 15815
t = 2149, completed file 7748
t = 2266, completed file 15606
t = 2327, completed file 15595
t = 2430, completed file 15510
t = 2439, completed file 13112
t = 2531, completed file 13137
t = 2550, completed file 965
t = 2569, completed file 15257
t = 2684, completed file 14818
t = 2794, completed file 1853
t = 2825, completed file 15702
t = 2867, completed file 3785
t = 2908, completed file 15475
t = 2959, completed file 7845
t = 2971, completed file 15109
t = 3080, completed file 15118
t = 3157, completed file 15308
t = 3168, completed file 7890
t = 3227, completed file 3911
t = 3352, completed file 1861
t = 3466, completed file 7711
t = 3486, completed file 7554
t = 3587, completed file 1821
t = 3675, completed file 15251
t = 3704, completed file 949
t = 3710, completed file 8086
t = 3734, completed file 8198
t = 3820, completed file 7358
t = 3935, completed file 15351
t = 3996, completed file 3750
t = 4108, completed file 925
t = 4181, completed file 15454
t = 4265, completed file 15586
t = 4352, completed file 3809
t = 4478, completed file 7471
t = 4561, completed file 14659
t = 4668, completed file 1981
t = 4718, completed file 1014
t = 4788, completed file 15084
t = 4832, completed file 7370
t = 4849, completed file 6998
t = 4860, completed file 7216
t = 4909, completed file 221
t = 4936, completed file 7744
t = 5038, completed file 15002
t = 5129, completed file 15124
t = 5197, completed file 7086
t = 5238, completed file 15467
t = 5285, completed file 15410
t = 5320, completed file 15649
t = 5329, completed file 15448
t = 5437, completed file 1925
t = 5445, completed file 7820
t = 5464, completed file 15695
t = 5520, completed file 14414
t = 5631, completed file 7150
t = 5682, completed file 457
t = 5712, completed file 15782
t = 5725, completed file 13367
t = 5781, completed file 13355
t = 5818, completed file 14243
t = 5842, completed file 14858
t = 5921, completed file 1909
t = 6034, completed file 15648
t = 6086, completed file 15071
t = 6109, completed file 14678
t = 6133, completed file 6989
t = 6191, completed file 14122
t = 6208, completed file 7210
t = 6277, completed file 7029
t = 6378, completed file 15108
t = 6456, completed file 3693
t = 6521, completed file 15028
t = 6535, completed file 13926
t = 6648, completed file 6950
t = 6728, completed file 12957
t = 6763, completed file 14359
t = 6845, completed file 14892
t = 6940, completed file 13862
t = 7007, completed file 12912
t = 7069, completed file 15311
t = 7081, completed file 7072
t = 7095, completed file 14340
t = 7215, completed file 7684
t = 7258, completed file 14564
t = 7320, completed file 12778
t = 7346, completed file 15095
t = 7411, completed file 13852
t = 7441, completed file 14615
t = 7539, completed file 14008
t = 7558, completed file 13
t = 7663, completed file 12515
t = 7675, completed file 14588
t = 7774, completed file 13079
t = 7833, completed file 14840
t = 7950, completed file 15793
t = 7966, completed file 14626
t = 8040, completed file 8042
t = 8117, completed file 13612
t = 8166, completed file 14445
t = 8202, completed file 14672
t = 8303, completed file 7913
t = 8364, completed file 918
t = 8409, completed file 12458
t = 8522, completed file 6868
t = 8644, completed file 7932
t = 8687, completed file 3718
t = 8755, completed file 3470
t = 8822, completed file 3835
t = 8878, completed file 8049
t = 9000, completed file 15039
t = 9108, completed file 3683
t = 9226, completed file 14847
t = 9312, completed file 14901
t = 9423, completed file 14495
t = 9463, completed file 1762
t = 9553, completed file 14964
t = 9668, completed file 6510
t = 9789, completed file 6956
t = 9865, completed file 3202
t = 9938, completed file 12111
t = 10053, completed file 7226
t = 10094, completed file 14307
t = 10129, completed file 3454
t = 10246, completed file 104
t = 10267, completed file 3576
t = 10322, completed file 14080
t = 10331, completed file 444
t = 10399, completed file 13494
t = 10405, completed file 1798
t = 10443, completed file 3630
t = 10482, completed file 13166
t = 10585, completed file 6477
t = 10620, completed file 6740
t = 10643, completed file 13063
t = 10648, completed file 12599
t = 10656, completed file 3096
t = 10754, completed file 14755
t = 10784, completed file 373
t = 10854, completed file 3905
t = 10912, completed file 12824
t = 10924, completed file 13412
t = 11049, completed file 6672
t = 11159, completed file 12027
t = 11246, completed file 440
t = 11288, completed file 1493
t = 11399, completed file 14680
t = 11400, completed file 11881
t = 11518, completed file 3597
t = 11645, completed file 13303
t = 11755, completed file 6168
t = 11871, completed file 14534
t = 11970, completed file 15342
t = 11973, completed file 7302
t = 11986, completed file 7584
t = 12063, completed file 13708
t = 12177, completed file 15128
t = 12191, completed file 884
t = 12272, completed file 6709
t = 12322, completed file 13599
t = 12344, completed file 14134
t = 12371, completed file 7916
t = 12442, completed file 750
t = 12511, completed file 11481
t = 12574, completed file 15086
t = 12678, completed file 15269
t = 12736, completed file 13732
t = 12785, completed file 12477
t = 12849, completed file 98
t = 12927, completed file 14704
t = 12956, completed file 10159
t = 13053, completed file 11809
t = 13127, completed file 3930
t = 13209, completed file 6930
t = 13309, completed file 2486
t = 13344, completed file 15056
t = 13410, completed file 3446
t = 13443, completed file 14614
t = 13539, completed file 7401
t = 13666, completed file 12982
t = 13687, completed file 12554
t = 13747, completed file 62
t = 13818, completed file 14232
t = 13872, completed file 5775
t = 13950, completed file 15482
t = 14071, completed file 5723
t = 14184, completed file 6719
t = 14245, completed file 14705
t = 14267, completed file 13949
t = 14362, completed file 13679
t = 14381, completed file 14686
t = 14435, completed file 377
t = 14507, completed file 13933
t = 14518, completed file 13049
t = 14621, completed file 13058
t = 14694, completed file 11696
t = 14759, completed file 4018
t = 14859, completed file 14086
t = 14946, completed file 12943
t = 15012, completed file 1907
t = 15052, completed file 843
t = 15114, completed file 12607
t = 15136, completed file 14815
t = 15170, completed file 6993
t = 15226, completed file 3752
t = 15295, completed file 6550
t = 15359, completed file 11212
t = 15429, completed file 6948
t = 15431, completed file 6894
t = 15545, completed file 13855
t = 15570, completed file 15116
t = 15602, completed file 1568
t = 15621, completed file 6248
t = 15726, completed file 11277
t = 15729, completed file 15518
t = 15798, completed file 1887
t = 15872, completed file 7366
t = 15923, completed file 15184
t = 15984, completed file 13017
t = 15999, completed file 3286
t = 16107, completed file 632
t = 16127, completed file 6802
t = 16219, completed file 15898
t = 16242, completed file 15231
t = 16309, completed file 13652
t = 16325, completed file 12429
t = 16452, completed file 345
t = 16457, completed file 4044
t = 16552, completed file 6888
t = 16678, completed file 5421
t = 16768, completed file 5145
t = 16870, completed file 10891
t = 16888, completed file 15813
t = 16949, completed file 601
t = 16973, completed file 14930
t = 17079, completed file 13809
t = 17132, completed file 3647
t = 17188, completed file 13816
t = 17190, completed file 7074
t = 17275, completed file 14219
t = 17297, completed file 15259
t = 17363, completed file 2666
t = 17436, completed file 15630
t = 17488, completed file 11420
t = 17594, completed file 7455
t = 17701, completed file 10438
t = 17757, completed file 15215
t = 17798, completed file 886
t = 17888, completed file 888
t = 18012, completed file 3571
t = 18026, completed file 15487
t = 18131, completed file 15391
t = 18197, completed file 5146
t = 18300, completed file 7250
t = 18320, completed file 13632
t = 18359, completed file 9886
t = 18361, completed file 13625
t = 18471, completed file 13631
t = 18595, completed file 14461
t = 18704, completed file 11032
t = 18714, completed file 11925
t = 18776, completed file 735
t = 18807, completed file 1872
t = 18829, completed file 10075
t = 18837, completed file 4944
t = 18912, completed file 10128
t = 18915, completed file 8171
t = 19038, completed file 8179
t = 19162, completed file 6874
t = 19270, completed file 13487
t = 19362, completed file 6272
t = 19489, completed file 14714
t = 19558, completed file 13383
t = 19638, completed file 11865
t = 19649, completed file 8573
t = 19688, completed file 8554
t = 19782, completed file 874
t = 19857, completed file 1690
t = 19900, completed file 1399
t = 19950, completed file 15778
t = 19969, completed file 6346
t = 20022, completed file 14382
t = 20066, completed file 4967
t = 20115, completed file 4331
t = 20239, completed file 6821
t = 20265, completed file 1004
t = 20370, completed file 13878
t = 20388, completed file 13243
t = 20415, completed file 1793
t = 20511, completed file 1812
t = 20540, completed file 9690
t = 20633, completed file 605
t = 20716, completed file 803
t = 20748, completed file 10653
t = 20872, completed file 7237
t = 20998, completed file 12670
t = 21030, completed file 11020
t = 21145, completed file 12711
t = 21272, completed file 12994
t = 21318, completed file 7099
t = 21345, completed file 10330
t = 21421, completed file 872
t = 21475, completed file 1558
t = 21554, completed file 9387
t = 21575, completed file 12857
t = 21690, completed file 13114
t = 21726, completed file 8510
t = 21810, completed file 471
t = 21859, completed file 11641
t = 21953, completed file 14185
t = 22051, completed file 13780
t = 22100, completed file 555
t = 22125, completed file 1378
t = 22161, completed file 3498
t = 22189, completed file 21
t = 22191, completed file 4371
t = 22229, completed file 9315
t = 22317, completed file 6581
t = 22326, completed file 9395
t = 22401, completed file 4660
t = 22419, completed file 15008
t = 22423, completed file 11379
t = 22538, completed file 177
t = 22603, completed file 3926
t = 22663, completed file 12121
t = 22744, completed file 11549
t = 22866, completed file 2901
t = 22962, completed file 15832
t = 23088, completed file 10345
t = 23187, completed file 10780
t = 23197, completed file 10990
t = 23235, completed file 2689
t = 23314, completed file 6469
t = 23416, completed file 3813
t = 23483, completed file 1066
t = 23521, completed file 13309
t = 23566, completed file 3172
t = 23588, completed file 11577
