t = 13, completed file 1
t = 14, completed file 234
t = 15, completed file 555
t = 16, completed file 640
t = 17, completed file 634
t = 26, completed file 25
t = 27, completed file 1239
t = 37, completed file 199
t = 38, completed file 1721
t = 39, completed file 2022
t = 40, completed file 2095
t = 71, completed file 240
t = 72, completed file 3874
t = 73, completed file 3860
t = 74, completed file 4126
t = 75, completed file 4199
t = 135, completed file 1005
t = 136, completed file 7283
t = 137, completed file 7242
t = 138, completed file 7133
t = 255, completed file 1027
t = 380, completed file 7353
t = 398, completed file 7339
t = 412, completed file 7337
t = 422, completed file 981
t = 483, completed file 3635
t = 523, completed file 7271
t = 598, completed file 7267
t = 708, completed file 7294
t = 819, completed file 3513
t = 883, completed file 7236
t = 1010, completed file 7356
t = 1074, completed file 6823
t = 1160, completed file 4101
t = 1166, completed file 1902
t = 1184, completed file 3599
t = 1292, completed file 7187
t = 1397, completed file 507
t = 1436, completed file 230
t = 1452, completed file 1956
t = 1462, completed file 425
t = 1516, completed file 880
t = 1581, completed file 992
t = 1636, completed file 7200
t = 1681, completed file 1921
t = 1769, completed file 7020
t = 1883, completed file 3538
t = 1962, completed file 3803
t = 2042, completed file 6878
t = 2123, completed file 1788
t = 2214, completed file 7110
t = 2220, completed file 3901
t = 2321, completed file 7063
t = 2384, completed file 6859
t = 2431, completed file 3637
t = 2442, completed file 3503
t = 2518, completed file 7027
t = 2594, completed file 4102
t = 2668, completed file 3483
t = 2753, completed file 6982
t = 2786, completed file 3059
t = 2900, completed file 3080
t = 2906, completed file 6998
t = 3006, completed file 6987
t = 3124, completed file 3265
t = 3129, completed file 3595
t = 3223, completed file 7194
t = 3241, completed file 6937
t = 3254, completed file 3321
t = 3289, completed file 6663
t = 3308, completed file 6716
t = 3343, completed file 2827
t = 3452, completed file 6796
t = 3465, completed file 6975
t = 3533, completed file 6965
t = 3577, completed file 4002
t = 3651, completed file 3362
t = 3734, completed file 3209
t = 3766, completed file 6958
t = 3881, completed file 6585
t = 3925, completed file 117
t = 3980, completed file 919
t = 4002, completed file 1645
t = 4006, completed file 100
t = 4071, completed file 98
t = 4181, completed file 3436
t = 4186, completed file 6226
t = 4204, completed file 3089
t = 4325, completed file 673
t = 4379, completed file 6809
t = 4445, completed file 6978
t = 4547, completed file 7331
t = 4663, completed file 6198
t = 4781, completed file 4055
t = 4822, completed file 6534
t = 4832, completed file 6691
t = 4848, completed file 3578
t = 4872, completed file 3661
t = 4941, completed file 1000
t = 4998, completed file 6652
t = 5070, completed file 7279
t = 5082, completed file 3167
t = 5094, completed file 1597
t = 5097, completed file 3832
t = 5130, completed file 1510
t = 5226, completed file 3896
t = 5338, completed file 3220
t = 5444, completed file 1650
t = 5456, completed file 3193
t = 5557, completed file 6399
t = 5647, completed file 1841
t = 5670, completed file 6204
t = 5750, completed file 5953
t = 5830, completed file 3270
t = 5899, completed file 6364
t = 5944, completed file 2853
t = 6006, completed file 7190
t = 6034, completed file 618
t = 6071, completed file 1918
t = 6090, completed file 1561
t = 6170, completed file 6480
t = 6207, completed file 6259
t = 6257, completed file 1869
t = 6322, completed file 6044
t = 6447, completed file 5919
t = 6504, completed file 3852
t = 6531, completed file 5955
t = 6567, completed file 228
t = 6607, completed file 3343
t = 6675, completed file 6862
t = 6744, completed file 3958
t = 6799, completed file 475
t = 6865, completed file 1636
t = 6941, completed file 1880
t = 7031, completed file 7255
t = 7149, completed file 410
t = 7263, completed file 1723
t = 7355, completed file 3067
t = 7399, completed file 5957
t = 7503, completed file 5875
t = 7591, completed file 5771
t = 7664, completed file 2811
t = 7778, completed file 460
t = 7895, completed file 3849
t = 7953, completed file 3150
t = 7995, completed file 6946
t = 7997, completed file 647
t = 8025, completed file 3986
t = 8101, completed file 5839
t = 8179, completed file 6609
t = 8261, completed file 5416
t = 8310, completed file 6338
t = 8437, completed file 5549
t = 8500, completed file 5376
t = 8585, completed file 1706
t = 8689, completed file 6490
t = 8787, completed file 5380
t = 8841, completed file 2585
t = 8874, completed file 7056
t = 8973, completed file 671
t = 9025, completed file 1396
t = 9074, completed file 350
t = 9090, completed file 5214
t = 9197, completed file 3489
t = 9296, completed file 6249
t = 9414, completed file 5244
t = 9538, completed file 6773
t = 9587, completed file 6926
t = 9662, completed file 3172
t = 9771, completed file 6620
t = 9858, completed file 3854
t = 9921, completed file 936
t = 9948, completed file 3466
t = 10027, completed file 6690
t = 10123, completed file 5568
t = 10229, completed file 718
t = 10248, completed file 2805
t = 10374, completed file 28
t = 10400, completed file 7075
t = 10479, completed file 6703
t = 10484, completed file 7121
t = 10544, completed file 219
t = 10552, completed file 1771
t = 10604, completed file 3429
t = 10640, completed file 3363
t = 10752, completed file 6328
t = 10809, completed file 2799
t = 10869, completed file 2866
t = 10978, completed file 6078
t = 11008, completed file 2617
t = 11042, completed file 6936
t = 11132, completed file 5911
t = 11186, completed file 7050
t = 11268, completed file 5604
t = 11349, completed file 4294
t = 11411, completed file 5990
t = 11520, completed file 6505
t = 11559, completed file 6954
t = 11686, completed file 323
t = 11778, completed file 6158
t = 11872, completed file 1578
t = 11905, completed file 5317
t = 11986, completed file 845
t = 12032, completed file 4657
t = 12106, completed file 6968
t = 12206, completed file 1675
t = 12248, completed file 4122
t = 12278, completed file 6790
t = 12371, completed file 3105
t = 12480, completed file 2156
t = 12520, completed file 5896
t = 12643, completed file 448
t = 12650, completed file 2345
t = 12775, completed file 4706
t = 12848, completed file 2599
t = 12939, completed file 1938
t = 12953, completed file 6277
t = 13057, completed file 3734
t = 13157, completed file 4079
t = 13276, completed file 1531
t = 13396, completed file 836
t = 13505, completed file 1657
t = 13614, completed file 2883
t = 13626, completed file 1672
t = 13632, completed file 3413
t = 13737, completed file 2018
t = 13834, completed file 2519
t = 13958, completed file 7352
t = 14076, completed file 3593
t = 14107, completed file 4420
t = 14130, completed file 6116
t = 14163, completed file 7185
t = 14186, completed file 426
t = 14222, completed file 1116
t = 14331, completed file 3040
t = 14424, completed file 5398
t = 14446, completed file 6137
t = 14469, completed file 3940
t = 14515, completed file 4901
t = 14563, completed file 1757
t = 14591, completed file 5745
t = 14659, completed file 5422
t = 14778, completed file 3112
t = 14830, completed file 3825
t = 14946, completed file 2197
t = 14997, completed file 3146
t = 15020, completed file 387
t = 15145, completed file 1481
t = 15192, completed file 2463
t = 15274, completed file 6094
t = 15325, completed file 2453
t = 15354, completed file 4104
t = 15383, completed file 5825
t = 15444, completed file 1801
t = 15545, completed file 2946
t = 15611, completed file 6322
t = 15689, completed file 688
t = 15786, completed file 3108
t = 15832, completed file 2965
t = 15859, completed file 2337
t = 15945, completed file 5458
t = 16042, completed file 4230
t = 16134, completed file 4368
t = 16197, completed file 1430
t = 16261, completed file 6799
t = 16355, completed file 2291
t = 16458, completed file 115
t = 16537, completed file 3681
t = 16554, completed file 5466
t = 16637, completed file 2586
t = 16758, completed file 5842
t = 16794, completed file 1752
t = 16838, completed file 5038
t = 16902, completed file 2553
t = 16996, completed file 257
t = 17067, completed file 6141
t = 17132, completed file 6988
t = 17184, completed file 2243
t = 17297, completed file 6271
t = 17370, completed file 6470
t = 17479, completed file 6728
t = 17508, completed file 416
t = 17538, completed file 3620
t = 17648, completed file 6216
t = 17731, completed file 3651
t = 17857, completed file 7107
t = 17964, completed file 2267
t = 17976, completed file 2880
t = 18021, completed file 5803
t = 18123, completed file 6673
t = 18207, completed file 6355
t = 18217, completed file 6353
t = 18316, completed file 7155
t = 18385, completed file 2876
t = 18390, completed file 5075
t = 18397, completed file 2514
t = 18476, completed file 1440
t = 18561, completed file 7176
t = 18606, completed file 2287
t = 18638, completed file 386
t = 18719, completed file 15
t = 18730, completed file 3308
t = 18774, completed file 6607
t = 18827, completed file 3927
t = 18869, completed file 883
t = 18981, completed file 2284
t = 19001, completed file 1250
t = 19073, completed file 36
t = 19185, completed file 653
t = 19222, completed file 3044
t = 19292, completed file 578
t = 19371, completed file 457
t = 19422, completed file 1738
t = 19506, completed file 146
t = 19544, completed file 1404
t = 19636, completed file 6378
t = 19655, completed file 1432
t = 19758, completed file 4440
t = 19797, completed file 2272
t = 19918, completed file 3190
t = 19940, completed file 1205
t = 19980, completed file 5721
t = 20034, completed file 2313
t = 20091, completed file 802
t = 20120, completed file 906
t = 20180, completed file 1995
t = 20193, completed file 2631
t = 20304, completed file 5279
t = 20410, completed file 154
t = 20423, completed file 5789
t = 20467, completed file 5453
t = 20501, completed file 46
t = 20544, completed file 837
t = 20556, completed file 6770
t = 20658, completed file 3382
t = 20659, completed file 6522
t = 20750, completed file 5385
t = 20815, completed file 105
t = 20889, completed file 5155
t = 20912, completed file 5542
t = 20996, completed file 1106
t = 21031, completed file 7241
t = 21135, completed file 5613
t = 21216, completed file 433
t = 21328, completed file 2315
t = 21446, completed file 4300
t = 21463, completed file 4705
t = 21568, completed file 7345
t = 21577, completed file 5191
t = 21657, completed file 7015
t = 21726, completed file 5666
t = 21769, completed file 29
t = 21844, completed file 4523
t = 21872, completed file 5136
t = 21882, completed file 6397
t = 21887, completed file 1214
t = 21918, completed file 784
t = 22017, completed file 1457
t = 22139, completed file 4921
t = 22203, completed file 4924
t = 22302, completed file 459
t = 22349, completed file 658
t = 22409, completed file 7011
t = 22522, completed file 1517
t = 22579, completed file 1665
t = 22585, completed file 3751
t = 22606, completed file 1855
t = 22652, completed file 3048
t = 22668, completed file 5004
t = 22722, completed file 6970
t = 22818, completed file 4667
t = 22930, completed file 1928
t = 22936, completed file 4655
t = 23044, completed file 2320
t = 23151, completed file 5628
t = 23251, completed file 1571
t = 23300, completed file 3804
t = 23412, completed file 3266
t = 23494, completed file 6009
t = 23613, completed file 3750
t = 23712, completed file 6800
t = 23778, completed file 1068
t = 23796, completed file 299
t = 23857, completed file 1437
t = 23890, completed file 5860
t = 23929, completed file 6008
t = 23934, completed file 2081
t = 23974, completed file 1105
t = 24073, completed file 5187
t = 24119, completed file 3079
t = 24198, completed file 6055
t = 24254, completed file 6021
t = 24327, completed file 5515
t = 24396, completed file 3920
t = 24518, completed file 2230
t = 24642, completed file 1593
t = 24690, completed file 4033
t = 24801, completed file 1498
t = 24848, completed file 4026
t = 24971, completed file 3031
t = 25044, completed file 830
t = 25071, completed file 1147
t = 25178, completed file 1605
t = 25249, completed file 539
t = 25368, completed file 2657
t = 25386, completed file 239
t = 25402, completed file 7202
t = 25493, completed file 5742
t = 25597, completed file 1473
t = 25612, completed file 7260
t = 25730, completed file 147
t = 25757, completed file 3965
t = 25779, completed file 3881
t = 25852, completed file 6632
t = 25961, completed file 7035
