t = 67, completed file 1
t = 68, completed file 3667
t = 69, completed file 3455
t = 70, completed file 3882
t = 71, completed file 3305
t = 72, completed file 306
t = 73, completed file 207
t = 74, completed file 3194
t = 75, completed file 3177
t = 76, completed file 4256
t = 77, completed file 4318
t = 78, completed file 1615
t = 79, completed file 4440
t = 80, completed file 4448
t = 81, completed file 1282
t = 82, completed file 2741
t = 137, completed file 1120
t = 138, completed file 7741
t = 139, completed file 7502
t = 140, completed file 8085
t = 141, completed file 7127
t = 142, completed file 6963
t = 256, completed file 2044
t = 257, completed file 15071
t = 258, completed file 14742
t = 259, completed file 14741
t = 355, completed file 8208
t = 356, completed file 15645
t = 357, completed file 15626
t = 358, completed file 15546
t = 359, completed file 15457
t = 402, completed file 4067
t = 433, completed file 15931
t = 465, completed file 15917
t = 501, completed file 8184
t = 622, completed file 15882
t = 639, completed file 15761
t = 747, completed file 8116
t = 861, completed file 3954
t = 955, completed file 7831
t = 999, completed file 15727
t = 1004, completed file 7905
t = 1043, completed file 15850
t = 1161, completed file 15859
t = 1225, completed file 15816
t = 1251, completed file 15381
t = 1362, completed file 15889
t = 1441, completed file 15551
t = 1540, completed file 3856
t = 1589, completed file 3888
t = 1635, completed file 15746
t = 1681, completed file 15573
t = 1736, completed file 15644
t = 1850, completed file 3884
t = 1956, completed file 15758
t = 2082, completed file 15731
t = 2085, completed file 14758
t = 2149, completed file 14744
t = 2270, completed file 15393
t = 2323, completed file 7748
t = 2344, completed file 8129
t = 2399, completed file 15921
t = 2510, completed file 7582
t = 2512, completed file 3678
t = 2537, completed file 15096
t = 2617, completed file 15243
t = 2653, completed file 7685
t = 2749, completed file 3876
t = 2858, completed file 14516
t = 2920, completed file 29
t = 2931, completed file 15464
t = 2989, completed file 7678
t = 3049, completed file 7719
t = 3052, completed file 15846
t = 3087, completed file 15833
t = 3106, completed file 3843
t = 3178, completed file 3720
t = 3222, completed file 14344
t = 3283, completed file 14985
t = 3384, completed file 15514
t = 3431, completed file 7485
t = 3457, completed file 8189
t = 3528, completed file 15876
t = 3565, completed file 7426
t = 3602, completed file 7483
t = 3610, completed file 15091
t = 3684, completed file 935
t = 3734, completed file 3801
t = 3858, completed file 7221
t = 3924, completed file 15431
t = 3975, completed file 15154
