t = 7, completed file 56
t = 8, completed file 90
t = 10, completed file 215
t = 12, completed file 202
t = 14, completed file 369
t = 15, completed file 567
t = 16, completed file 618
t = 17, completed file 698
t = 18, completed file 566
t = 19, completed file 800
t = 20, completed file 868
t = 34, completed file 72
t = 35, completed file 1596
t = 58, completed file 401
t = 59, completed file 3095
t = 60, completed file 3068
t = 108, completed file 926
t = 109, completed file 6194
t = 110, completed file 6255
t = 111, completed file 6190
t = 112, completed file 6389
t = 113, completed file 6382
t = 114, completed file 3494
t = 115, completed file 3427
t = 164, completed file 2047
t = 165, completed file 9481
t = 166, completed file 8165
t = 167, completed file 8114
t = 168, completed file 9739
t = 169, completed file 9832
t = 170, completed file 7974
t = 171, completed file 7804
t = 172, completed file 10015
t = 173, completed file 10064
t = 271, completed file 2053
t = 272, completed file 15913
t = 273, completed file 15763
t = 274, completed file 15599
t = 275, completed file 15427
t = 276, completed file 15417
t = 343, completed file 8211
t = 348, completed file 15929
t = 373, completed file 15928
t = 468, completed file 8039
t = 522, completed file 1977
t = 614, completed file 8058
t = 620, completed file 4040
t = 738, completed file 4036
t = 757, completed file 7842
t = 814, completed file 2036
t = 890, completed file 7955
t = 922, completed file 15741
t = 943, completed file 3784
t = 1017, completed file 7865
t = 1059, completed file 15838
t = 1163, completed file 984
t = 1168, completed file 15549
t = 1238, completed file 7633
t = 1275, completed file 15632
t = 1319, completed file 486
t = 1384, completed file 15567
t = 1449, completed file 15665
t = 1569, completed file 477
t = 1658, completed file 15269
t = 1772, completed file 905
t = 1822, completed file 15437
t = 1938, completed file 7768
t = 1969, completed file 15791
t = 2045, completed file 14680
t = 2142, completed file 15518
t = 2197, completed file 7728
t = 2226, completed file 15534
t = 2331, completed file 7731
t = 2397, completed file 1628
t = 2522, completed file 7584
t = 2527, completed file 15552
t = 2643, completed file 15560
t = 2737, completed file 14787
t = 2803, completed file 952
t = 2909, completed file 15701
t = 2953, completed file 3596
t = 2980, completed file 7713
t = 3094, completed file 3938
t = 3183, completed file 3754
t = 3185, completed file 15228
t = 3301, completed file 15231
t = 3386, completed file 7881
t = 3417, completed file 15889
t = 3518, completed file 14492
t = 3563, completed file 7712
t = 3612, completed file 7188
t = 3726, completed file 14632
t = 3759, completed file 15136
t = 3865, completed file 3325
t = 3895, completed file 8072
t = 3970, completed file 7062
t = 3984, completed file 14707
t = 4018, completed file 3595
t = 4053, completed file 7513
t = 4158, completed file 15261
t = 4233, completed file 3791
t = 4322, completed file 15537
t = 4409, completed file 3848
t = 4478, completed file 14820
t = 4491, completed file 7279
t = 4551, completed file 1877
t = 4646, completed file 15933
t = 4729, completed file 15020
t = 4786, completed file 1869
t = 4897, completed file 3510
t = 4936, completed file 14598
t = 4964, completed file 14966
t = 5070, completed file 4087
t = 5185, completed file 3747
t = 5221, completed file 15070
t = 5340, completed file 14245
t = 5341, completed file 15161
t = 5419, completed file 15423
t = 5533, completed file 7797
t = 5591, completed file 15205
t = 5688, completed file 14636
t = 5774, completed file 14827
t = 5835, completed file 7547
t = 5898, completed file 1849
t = 5908, completed file 7117
t = 5921, completed file 14231
t = 5971, completed file 7900
t = 6021, completed file 13416
t = 6128, completed file 6540
t = 6136, completed file 14164
t = 6262, completed file 7050
t = 6353, completed file 15357
t = 6461, completed file 15455
t = 6476, completed file 15036
t = 6591, completed file 3658
t = 6620, completed file 14081
t = 6731, completed file 14043
t = 6819, completed file 14397
t = 6872, completed file 7104
t = 6886, completed file 15055
t = 6946, completed file 7463
t = 7061, completed file 3846
t = 7090, completed file 13911
t = 7127, completed file 14360
t = 7142, completed file 6209
t = 7173, completed file 3519
t = 7275, completed file 14846
t = 7280, completed file 6890
t = 7306, completed file 13774
t = 7426, completed file 15313
t = 7512, completed file 7172
t = 7582, completed file 14805
t = 7621, completed file 15236
t = 7628, completed file 14527
t = 7659, completed file 3614
t = 7712, completed file 14872
t = 7776, completed file 6907
t = 7779, completed file 14533
t = 7836, completed file 3593
t = 7867, completed file 15447
t = 7928, completed file 6233
t = 8014, completed file 3885
t = 8082, completed file 14948
t = 8137, completed file 1747
t = 8263, completed file 7823
t = 8280, completed file 14551
t = 8317, completed file 8044
t = 8329, completed file 13530
