t = 10, completed file 1
t = 11, completed file 299
t = 12, completed file 265
t = 13, completed file 221
t = 15, completed file 481
t = 16, completed file 658
t = 17, completed file 636
t = 18, completed file 735
t = 30, completed file 22
t = 31, completed file 1144
t = 36, completed file 353
t = 37, completed file 1920
t = 38, completed file 1909
t = 39, completed file 1756
t = 40, completed file 2090
t = 44, completed file 931
t = 45, completed file 2397
t = 48, completed file 143
t = 49, completed file 2527
t = 58, completed file 853
t = 59, completed file 2934
t = 60, completed file 3264
t = 150, completed file 126
t = 151, completed file 7247
t = 152, completed file 7117
t = 153, completed file 6860
t = 271, completed file 2059
t = 369, completed file 3688
t = 481, completed file 115
t = 554, completed file 3571
t = 680, completed file 7323
t = 715, completed file 1012
t = 819, completed file 6918
t = 908, completed file 4048
t = 992, completed file 7223
t = 1037, completed file 3636
t = 1137, completed file 907
t = 1177, completed file 1011
t = 1201, completed file 3859
t = 1229, completed file 951
t = 1273, completed file 923
t = 1276, completed file 7314
t = 1367, completed file 3663
t = 1467, completed file 7215
t = 1517, completed file 440
t = 1546, completed file 7146
t = 1604, completed file 3584
t = 1681, completed file 1906
t = 1723, completed file 6960
t = 1815, completed file 7229
t = 1924, completed file 7185
t = 1995, completed file 3953
t = 2063, completed file 7121
t = 2089, completed file 3448
t = 2197, completed file 3692
t = 2310, completed file 1767
t = 2364, completed file 7083
t = 2438, completed file 1931
t = 2491, completed file 6982
t = 2568, completed file 7016
t = 2666, completed file 6061
t = 2685, completed file 6311
t = 2690, completed file 7001
t = 2720, completed file 7015
t = 2766, completed file 1652
t = 2777, completed file 7251
t = 2881, completed file 7241
t = 2973, completed file 6971
t = 3005, completed file 6741
t = 3095, completed file 2030
t = 3201, completed file 6740
t = 3318, completed file 5696
t = 3343, completed file 6814
t = 3468, completed file 6986
t = 3587, completed file 6897
t = 3693, completed file 2008
t = 3809, completed file 846
t = 3860, completed file 3201
t = 3960, completed file 6964
t = 4020, completed file 6591
t = 4026, completed file 3837
t = 4146, completed file 958
t = 4163, completed file 6705
t = 4281, completed file 3173
t = 4287, completed file 4011
t = 4345, completed file 1974
t = 4387, completed file 1555
t = 4496, completed file 6961
t = 4548, completed file 2698
t = 4599, completed file 6815
t = 4695, completed file 3503
t = 4760, completed file 3680
t = 4777, completed file 6204
t = 4788, completed file 4065
t = 4910, completed file 2011
t = 5005, completed file 3364
t = 5092, completed file 3032
t = 5200, completed file 921
t = 5252, completed file 4018
t = 5350, completed file 6658
t = 5379, completed file 7141
t = 5466, completed file 1589
t = 5586, completed file 3310
t = 5669, completed file 204
t = 5766, completed file 6233
t = 5852, completed file 3865
t = 5952, completed file 3279
t = 6003, completed file 6594
t = 6108, completed file 3200
t = 6204, completed file 515
t = 6265, completed file 7303
t = 6361, completed file 3099
t = 6455, completed file 2975
t = 6521, completed file 6570
t = 6576, completed file 6159
t = 6640, completed file 5702
